 aaaammgghhpp  ERRCAR   AVESAL   TREVAL   TANAPN 
 202009290000     0.00     0.00     0.00     0.00
 202009290100     0.00     0.00     0.00     0.00
 202009290200     0.00     0.00     0.00     0.00
 202009290300     0.00     0.00     0.00     0.00
 202009290400     0.00     0.03     0.06     0.00
 202009290500     0.00     0.44     0.74     0.00
 202009290600     0.00     1.47     1.80     0.00
 202009290700     0.01     3.38     3.25     0.00
 202009290800     0.01     5.48     5.74     0.00
 202009290900     0.01     7.51     7.82     0.00
 202009291000     0.01    10.06    10.51     0.00
 202009291100     0.01    12.36    13.08     0.00
 202009291200     0.01    14.12    15.29     0.00
 202009291300     0.01    15.74    17.18     0.00
 202009291400     0.01    16.63    18.87     0.00
 202009291500     0.01    17.47    20.35     0.00
 202009291600     0.01    18.26    21.18     0.00
 202009291700     0.01    18.95    21.95     0.00
 202009291800     0.01    19.70    22.59     0.00
 202009291900     0.01    20.11    23.19     0.00
 202009292000     0.01    20.41    23.82     0.00
 202009292100     0.01    20.71    24.40     0.00
 202009292200     0.01    21.00    24.84     0.00
 202009292300     0.01    21.18    25.14     0.00
 202009300000     0.01    21.21    25.29     0.00
 202009300100     0.00    21.25    25.29     0.00
 202009300200     0.00    21.40    25.37     0.00
 202009300300     0.00    21.48    25.37     0.00
 202009300400     0.00    21.45    25.36     0.00
 202009300500     0.00    21.37    25.33     0.00
 202009300600     0.00    21.27    25.27     0.00
 202009300700     0.00    21.10    25.28     0.00
 202009300800     0.00    20.96    25.14     0.00
 202009300900     0.00    20.80    24.98     0.00
 202009301000     0.00    20.66    24.80     0.00
 202009301100     0.00    20.49    24.60     0.00
 202009301200     0.00    20.29    24.49     0.00
 202009301300     0.00    20.15    24.28     0.00
 202009301400     0.00    19.94    24.08     0.00
 202009301500     0.00    19.71    23.84     0.00
 202009301600     0.00    19.50    23.60     0.00
 202009301700     0.00    19.29    23.37     0.00
 202009301800     0.00    19.08    23.16     0.00
 202009301900     0.00    18.87    22.91     0.00
 202009302000     0.00    18.67    22.68     0.00
 202009302100     0.00    18.46    22.45     0.00
 202009302200     0.00    18.24    22.24     0.00
 202009302300     0.00    18.04    22.00     0.00
 202010010000     0.00    17.83    21.78     0.00
 202010010100     0.00    17.63    21.55     0.00
 202010010200     0.00    17.42    21.31     0.00
 202010010300     0.00    17.23    21.06     0.00
 202010010400     0.00    17.03    20.82     0.00
 202010010500     0.00    16.86    20.59     0.00
 202010010600     0.00    16.67    20.37     0.00
 202010010700     0.00    16.49    20.15     0.00
 202010010800     0.00    16.30    19.93     0.00
 202010010900     0.00    16.13    19.70     0.00
 202010011000     0.00    15.95    19.48     0.00
 202010011100     0.00    14.84    18.04     0.00
 202010011200     0.00    11.61    12.73     0.00
 202010011300     0.00     5.26     6.26     0.00
 202010011400     0.00     2.33     2.16     0.00
 202010011500     0.00     1.13     1.14     0.00
 202010011600     0.00     0.41     0.46     0.00
 202010011700     0.00     0.13     0.27     0.00
 202010011800     0.00     0.00     0.17     0.00
 202010011900     0.00     0.00     0.04     0.00
 202010012000     0.00     0.00     0.00     0.00
 202010012100     0.00     0.00     0.00     0.00
 202010012200     0.00     0.00     0.00     0.00
 202010012300     0.00     0.00     0.00     0.00
 202010020000     0.00     0.00     0.00     0.00
 202010020100     0.00     0.00     0.00     0.00
