 aaaammgghhpp  FERRAN   ARGE01   CALAMA   LAPRES   NERVBU   PBATTO   STUR00   IMPTRE   ARRO01   PENNEV   ACQULE   SECCPO   PONTEX   LAVA01   TREB01   SCRBUS   CARCAR 
 202009300000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202009300100     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.05     0.00     0.00     0.02     0.00
 202009300200     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.15     0.00     0.13     0.00     0.04     0.12     0.00
 202009300300     0.00     0.00     0.12     0.03     0.00     0.00     0.00     0.00     0.00     0.00     0.24     0.07     0.31     0.01     0.08     0.41     0.00
 202009300400     0.00     0.00     0.27     0.22     0.00     0.00     0.00     0.00     0.00     0.00     0.33     0.37     0.40     0.09     0.15     0.59     0.00
 202009300500     0.00     0.00     0.38     0.30     0.00     0.00     0.04     0.00     0.00     0.00     0.50     0.74     0.69     0.13     0.29     0.72     0.00
 202009300600     0.00     0.00     0.55     0.74     0.00     0.00     0.11     0.00     0.00     0.00     0.61     0.91     1.07     0.24     0.77     1.56     0.00
 202009300700     0.00     0.00     0.65     1.06     0.00     0.00     0.19     0.00     0.00     0.00     0.78     1.17     1.31     0.44     1.25     3.43     0.00
 202009300800     0.00     0.00     0.75     1.25     0.00     0.05     0.27     0.00     0.00     0.00     0.88     1.38     1.75     0.59     2.00     5.19     0.00
 202009300900     0.00     0.00     0.78     1.56     0.00     0.12     0.52     0.00     0.00     0.00     0.97     1.47     2.00     0.82     2.50     6.78     0.00
 202009301000     0.00     0.00     0.79     1.77     0.00     0.15     0.60     0.00     0.00     0.00     1.23     1.59     2.28     1.00     2.96     8.22     0.00
 202009301100     0.00     0.00     0.82     1.96     0.00     0.25     0.73     0.00     0.00     0.00     1.34     1.67     2.60     1.16     3.42     9.95     0.00
 202009301200     0.00     0.00     0.84     2.14     0.00     0.44     0.83     0.00     0.00     0.00     1.48     1.75     2.96     1.33     4.08    11.76     0.00
 202009301300     0.00     0.00     0.86     2.20     0.00     0.52     0.85     0.00     0.00     0.00     1.53     1.78     3.09     1.51     4.40    12.79     0.00
 202009301400     0.00     0.00     0.85     2.36     0.00     0.66     0.99     0.00     0.00     0.00     1.61     1.83     3.31     1.69     4.73    13.69     0.00
 202009301500     0.00     0.00     0.86     2.46     0.00     0.80     1.15     0.00     0.00     0.00     1.63     1.91     3.47     1.83     5.09    14.46     0.00
 202009301600     0.00     0.00     0.87     2.61     0.00     0.84     1.30     0.00     0.00     0.00     1.65     1.96     3.59     1.96     5.31    15.12     0.00
 202009301700     0.00     0.00     0.86     2.66     0.00     0.84     1.39     0.00     0.00     0.00     1.67     2.00     3.73     2.10     5.59    15.51     0.00
 202009301800     0.00     0.00     0.86     2.72     0.00     0.99     1.47     0.00     0.00     0.00     1.67     2.03     3.86     2.31     5.83    16.09     0.00
 202009301900     0.00     0.00     0.89     2.73     0.00     1.09     1.59     0.00     0.00     0.00     1.68     2.08     3.98     2.48     6.02    16.42     0.00
