 aaaammgghhpp  LAMACC   PICCAT 
 202010010000     0.00     0.00
 202010010100     0.00     0.00
 202010010200     0.00     0.00
 202010010300     0.00     0.00
 202010010400     0.03     0.00
 202010010500     0.08     0.00
 202010010600     0.08     0.00
 202010010700     0.08     0.00
 202010010800     0.10     0.00
 202010010900     0.15     0.00
 202010011000     0.18     0.00
 202010011100     0.20     0.00
 202010011200     0.27     0.00
 202010011300     0.28     0.00
 202010011400     0.29     0.00
 202010011500     0.33     0.00
 202010011600     0.34     0.00
 202010011700     0.33     0.00
 202010011800     0.38     0.00
 202010011900     0.42     0.00
 202010012000     0.69     0.00
 202010012100     1.01     0.00
 202010012200     1.05     0.00
 202010012300     1.12     0.02
 202010020000     1.12     0.01
 202010020100     2.37     0.05
 202010020200     6.96     0.24
 202010020300    15.27     1.20
 202010020400    63.95     1.03
 202010020500   327.81     1.48
 202010020600   477.94     1.43
 202010020700   396.49     1.33
 202010020800   289.62     6.13
 202010020900   180.12     9.27
 202010021000   125.04    13.86
 202010021100    85.55    15.29
 202010021200    60.41    17.03
 202010021300    48.98    19.50
 202010021400    45.23    23.90
 202010021500    49.94    35.17
 202010021600    73.64    42.52
 202010021700    61.90    40.56
 202010021800    57.66    45.10
 202010021900    64.15    44.72
 202010022000    61.37    42.05
 202010022100    58.44    34.91
 202010022200    61.19    33.66
 202010022300    58.38    34.91
 202010030000    54.71    31.63
 202010030100    49.75    26.77
 202010030200    26.66    12.70
 202010030300    14.08     6.09
 202010030400     6.46     3.07
 202010030500     2.69     0.92
 202010030600     0.94     0.10
 202010030700     0.20     0.01
 202010030800     0.00     0.00
 202010030900     0.00     0.00
 202010031000     0.00     0.00
