 aaaammgghhpp  AULE00   BOVARA   MAGR01   STUVIG   ARGCAP   GATTOR   LICTAV   BAGNON   PTEGLI   SCRI01   BRUDIG 
 202010010000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010010100     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010010200     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010010300     0.00     0.00     0.06     0.00     0.00     0.00     0.00     0.00     0.00     0.02     0.00
 202010010400     0.05     0.00     0.13     0.00     0.00     0.00     0.00     0.00     0.00     0.05     0.00
 202010010500     0.07     0.00     0.16     0.00     0.00     0.00     0.00     0.00     0.00     0.57     0.05
 202010010600     0.10     0.03     0.19     0.06     0.00     0.01     0.00     0.00     0.00     1.39     0.19
 202010010700     0.10     0.08     0.19     0.06     0.00     0.02     0.00     0.00     0.00     2.76     0.48
 202010010800     0.10     0.11     0.19     0.15     0.00     0.06     0.00     0.00     0.00     4.00     0.68
 202010010900     0.12     0.11     0.19     0.27     0.00     0.08     0.00     0.00     0.01     4.77     0.90
 202010011000     0.11     0.14     0.21     0.36     0.00     0.11     0.01     0.00     0.01     6.11     1.22
 202010011100     0.12     0.18     0.22     0.44     0.00     0.14     0.01     0.00     0.01     7.66     1.31
 202010011200     0.12     0.22     0.23     0.50     0.00     0.14     0.01     0.00     0.01     8.72     1.44
 202010011300     0.11     0.30     0.22     0.53     0.00     0.16     0.01     0.00     0.01     9.37     1.63
 202010011400     0.14     0.41     0.22     0.64     0.00     0.19     0.00     0.00     0.01     9.93     1.84
 202010011500     0.15     0.44     0.21     0.71     0.00     0.19     0.00     0.00     0.01    10.48     2.02
 202010011600     0.15     0.48     0.21     0.76     0.00     0.20     0.00     0.00     0.01    10.79     2.06
 202010011700     0.16     0.54     0.21     0.87     0.00     0.22     0.00     0.00     0.01    11.18     2.17
 202010011800     0.15     0.55     0.21     1.01     0.00     0.28     0.00     0.00     0.01    11.41     2.24
 202010011900     0.15     0.64     0.23     1.31     0.00     0.42     0.00     0.00     0.00    11.58     2.28
 202010012000     0.14     0.82     0.39     2.00     0.00     0.88     0.00     0.00     0.01    13.38     3.20
 202010012100     0.15     1.04     0.53     4.37     0.00     1.22     0.00     0.00     0.01    26.93     7.48
