 aaaammgghhpp  AULSOL   NASCET   SCRMON 
 202010020000     0.00     0.00     0.00
 202010020100     0.06     0.03     0.00
 202010020200     0.41     2.30     0.91
 202010020300     0.46    11.25     5.61
 202010020400     0.88    38.31     8.23
 202010020500     1.63   148.36     9.17
 202010020600     1.76   451.12    11.68
 202010020700     1.79   557.26    23.63
 202010020800     1.80   464.08    48.48
 202010020900     1.83   348.33    77.91
 202010021000     1.94   241.18    77.50
 202010021100     1.82   181.03    61.60
 202010021200     1.77   134.68    48.48
 202010021300     1.78   105.94    36.51
 202010021400     1.78    92.91    29.88
 202010021500     1.81    88.87    24.65
 202010021600     1.85    95.92    24.97
 202010021700     2.04   118.15    36.14
 202010021800     2.06   103.77    43.36
 202010021900     1.99    95.59    34.83
 202010022000     1.84   101.36    28.48
 202010022100     1.78    97.17    25.04
 202010022200     1.73    91.50    22.50
 202010022300     1.70    93.36    22.15
 202010030000     1.68    89.21    21.20
 202010030100     1.69    83.95    21.27
 202010030200     1.71    81.46    30.41
 202010030300     1.75    83.00    62.45
 202010030400     2.23   101.31    77.91
 202010030500     6.25   153.59    71.84
 202010030600    12.90   204.29    86.70
 202010030700    15.73   216.20   113.84
 202010030800    26.18   241.33   117.01
 202010030900    34.31   240.05    98.50
 202010031000    35.96   212.41    71.43
 202010031100    30.04   177.24    50.10
 202010031200    22.53   145.39    36.78
 202010031300    19.57   118.18    28.41
 202010031400    15.95    98.12    23.27
 202010031500    14.72    86.13    20.38
 202010031600    13.97    78.93    18.99
 202010031700    13.76    74.83    18.46
 202010031800    13.48    72.16    18.10
 202010031900    13.57    70.29    17.77
 202010032000    14.07    68.63    17.90
 202010032100    17.61    67.75    18.52
 202010032200    24.36    68.70    17.76
 202010032300    42.66    71.90    16.94
 202010040000    74.12    69.67    16.52
 202010040100    73.85    65.88    16.10
 202010040200    67.02    63.11    15.70
 202010040300    44.86    59.12    12.01
 202010040400    27.10    46.96     5.29
 202010040500     7.93    22.30     2.72
 202010040600     2.95    10.11     1.44
 202010040700     0.86     4.60     0.59
 202010040800     0.36     1.67     0.19
 202010040900     0.06     0.71     0.06
 202010041000     0.01     0.23     0.00
 202010041100     0.00     0.04     0.00
 202010041200     0.00     0.00     0.00
 202010041300     0.00     0.00     0.00
