 aaaammgghhpp  ARGEME   ARMVAL   AVECAB   CAIROM   CAMINA   CARASC   FORNOL   IMPERU   MOLINE   MURIAL   NERV01   NEVCIS   PORTOV   SANTUA   STSGIU   VOBBIE   QUAZQU   BOLSTE   POLCAM   BISMOL   ROVEGN   SCRISO   CAMPST 
 202009290000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202009290100     0.00     0.00     0.00     0.00     0.00     0.00     0.07     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.01     0.06     0.00     0.00     0.00
 202009290200     0.00     0.00     0.00     0.00     0.00     0.00     0.13     0.00     0.15     0.00     0.00     0.00     0.00     0.00     0.00     0.03     0.00     0.00     0.23     0.08     0.00     0.12     0.00
 202009290300     0.00     0.00     0.03     0.00     0.00     0.03     0.17     0.00     0.33     0.00     0.00     0.00     0.00     0.00     0.00     0.10     0.00     0.00     0.64     0.12     0.04     0.57     0.00
 202009290400     0.00     0.00     0.08     0.00     0.00     0.06     0.40     0.00     0.51     0.00     0.00     0.00     0.00     0.00     0.00     0.10     0.00     0.00     1.21     0.19     0.08     1.22     0.04
 202009290500     0.00     0.00     0.26     0.00     0.00     0.15     0.72     0.00     0.76     0.00     0.00     0.00     0.00     0.00     0.00     0.37     0.00     0.00     1.82     0.58     0.39     1.59     0.24
 202009290600     0.00     0.00     0.46     0.00     0.07     0.37     0.94     0.00     1.07     0.00     0.00     0.00     0.00     0.00     0.00     1.36     0.00     0.00     2.56     1.01     0.96     2.15     0.50
 202009290700     0.00     0.00     0.82     0.00     0.17     0.71     1.42     0.00     1.40     0.00     0.00     0.00     0.00     0.00     0.00     2.03     0.00     0.00     3.21     1.75     2.69     3.48     0.82
 202009290800     0.00     0.00     0.98     0.00     0.26     1.15     1.77     0.00     1.69     0.00     0.00     0.00     0.00     0.00     0.00     2.46     0.00     0.00     3.80     2.16     3.81     5.82     1.09
 202009290900     0.00     0.00     1.49     0.00     0.33     1.71     2.10     0.00     1.99     0.00     0.00     0.00     0.00     0.00     0.00     3.45     0.00     0.00     4.42     2.46     5.46     7.85     1.25
 202009291000     0.00     0.00     1.75     0.00     0.40     2.04     2.78     0.00     2.15     0.00     0.00     0.00     0.00     0.00     0.00     4.32     0.00     0.00     4.88     2.77     6.44     9.94     1.75
 202009291100     0.00     0.00     1.91     0.00     0.45     2.58     3.23     0.00     2.34     0.00     0.00     0.00     0.00     0.00     0.00     4.96     0.00     0.00     5.49     3.21     7.78    11.83     1.90
 202009291200     0.00     0.00     2.21     0.00     0.49     3.03     3.58     0.00     2.50     0.00     0.00     0.00     0.00     0.00     0.00     5.43     0.00     0.00     5.99     3.53     9.11    13.73     2.04
 202009291300     0.00     0.00     2.53     0.00     0.62     3.37     4.07     0.00     2.59     0.00     0.00     0.00     0.00     0.00     0.00     5.73     0.00     0.00     6.39     3.74    10.49    15.51     2.19
 202009291400     0.00     0.00     2.73     0.00     0.68     3.68     4.75     0.00     2.70     0.00     0.00     0.00     0.00     0.00     0.00     5.93     0.00     0.00     6.75     3.88    11.44    16.89     2.34
 202009291500     0.00     0.00     2.87     0.00     0.71     4.09     5.29     0.00     2.74     0.00     0.00     0.00     0.00     0.00     0.00     6.01     0.00     0.00     7.03     4.13    11.99    18.27     2.47
 202009291600     0.00     0.00     2.95     0.00     0.72     4.52     5.85     0.00     2.76     0.00     0.00     0.00     0.00     0.00     0.00     6.04     0.00     0.00     7.24     4.28    12.61    19.17     2.59
 202009291700     0.00     0.00     2.99     0.00     0.76     4.78     6.28     0.00     2.76     0.00     0.00     0.00     0.00     0.00     0.00     6.19     0.00     0.00     7.58     4.41    12.99    19.91     2.69
 202009291800     0.00     0.00     3.06     0.00     0.84     5.11     6.79     0.00     2.76     0.00     0.00     0.00     0.00     0.00     0.00     6.26     0.00     0.03     7.87     4.43    13.43    20.41     2.80
 202009291900     0.00     0.00     3.19     0.00     0.90     5.36     7.61     0.00     2.77     0.00     0.00     0.00     0.00     0.00     0.00     6.31     0.00     0.04     8.08     4.46    13.80    21.04     2.96
 202009292000     0.00     0.00     3.21     0.00     0.91     5.69     8.22     0.00     2.82     0.00     0.00     0.00     0.00     0.00     0.00     6.35     0.00     0.04     8.27     4.53    14.14    21.48     3.12
 202009292100     0.00     0.00     3.24     0.00     0.98     5.88     8.65     0.00     2.82     0.00     0.00     0.00     0.00     0.00     0.00     6.34     0.00     0.05     8.51     4.60    14.38    21.70     3.19
 202009292200     0.00     0.00     3.27     0.00     1.01     6.21     9.00     0.00     2.79     0.00     0.00     0.00     0.00     0.00     0.00     6.29     0.00     0.07     8.69     4.71    14.58    21.95     3.33
 202009292300     0.00     0.00     3.25     0.00     1.08     6.43     9.36     0.00     2.77     0.00     0.00     0.00     0.00     0.00     0.00     6.33     0.00     0.08     8.81     4.76    14.64    22.15     3.42
 202009300000     0.00     0.00     3.34     0.00     1.11     6.55     9.64     0.00     2.77     0.00     0.00     0.00     0.00     0.00     0.00     6.33     0.00     0.09     8.94     4.81    14.71    22.36     3.49
 202009300100     0.00     0.00     3.43     0.00     1.15     6.67    10.02     0.00     2.81     0.00     0.00     0.00     0.00     0.00     0.00     6.27     0.00     0.11     9.11     4.83    14.72    22.43     3.48
 202009300200     0.00     0.00     3.45     0.00     1.16     6.82    10.33     0.00     2.79     0.00     0.00     0.00     0.00     0.00     0.00     6.20     0.00     0.12     9.27     4.90    14.75    22.48     3.48
 202009300300     0.00     0.00     3.42     0.00     1.19     6.87    10.70     0.00     2.76     0.00     0.00     0.00     0.00     0.00     0.00     6.13     0.00     0.12     9.34     4.92    14.85    22.53     3.45
 202009300400     0.00     0.00     3.43     0.00     1.23     6.89    11.25     0.00     2.72     0.00     0.00     0.00     0.00     0.00     0.00     6.06     0.00     0.12     9.33     4.89    14.85    22.54     3.47
 202009300500     0.00     0.00     3.42     0.00     1.24     6.93    11.69     0.00     2.71     0.00     0.00     0.00     0.00     0.00     0.00     5.98     0.00     0.12     9.37     4.86    14.81    22.45     3.50
 202009300600     0.00     0.00     3.40     0.00     1.26     7.07    12.05     0.00     2.69     0.00     0.00     0.00     0.00     0.00     0.00     5.91     0.00     0.12     9.39     4.85    14.78    22.51     3.51
 202009300700     0.00     0.00     3.40     0.00     1.29     7.10    12.32     0.00     2.65     0.00     0.00     0.00     0.00     0.00     0.00     5.84     0.00     0.12     9.35     4.81    14.73    22.36     3.57
 202009300800     0.00     0.00     3.42     0.00     1.30     7.13    12.66     0.00     2.62     0.00     0.00     0.00     0.00     0.00     0.00     5.78     0.00     0.12     9.39     4.79    14.67    22.34     3.56
 202009300900     0.00     0.00     3.41     0.00     1.29     7.19    12.85     0.00     2.59     0.00     0.00     0.00     0.00     0.00     0.00     5.70     0.00     0.12     9.37     4.78    14.54    22.17     3.59
 202009301000     0.00     0.00     3.38     0.00     1.30     7.26    13.00     0.00     2.56     0.00     0.00     0.00     0.00     0.00     0.00     5.62     0.00     0.12     9.41     4.76    14.48    21.99     3.56
 202009301100     0.00     0.00     3.38     0.00     1.31     7.31    13.16     0.00     2.52     0.00     0.00     0.00     0.00     0.00     0.00     5.55     0.00     0.12     9.40     4.75    14.41    21.79     3.53
 202009301200     0.00     0.00     3.35     0.00     1.33     7.28    13.30     0.00     2.49     0.00     0.00     0.00     0.00     0.00     0.00     5.48     0.00     0.12     9.37     4.72    14.33    21.60     3.56
 202009301300     0.00     0.00     3.31     0.00     1.33     7.24    13.44     0.00     2.47     0.00     0.00     0.00     0.00     0.00     0.00     5.43     0.00     0.12     9.43     4.69    14.22    21.40     3.54
 202009301400     0.00     0.00     3.27     0.00     1.34     7.28    13.51     0.00     2.44     0.00     0.00     0.00     0.00     0.00     0.00     5.36     0.00     0.12     9.45     4.67    14.08    21.17     3.55
 202009301500     0.00     0.00     3.24     0.00     1.34     7.37    13.51     0.00     2.41     0.00     0.00     0.00     0.00     0.00     0.00     5.31     0.00     0.12     9.40     4.62    13.94    20.94     3.54
 202009301600     0.00     0.00     3.20     0.00     1.34     7.37    13.63     0.00     2.37     0.00     0.00     0.00     0.00     0.00     0.00     5.26     0.00     0.12     9.33     4.58    13.82    20.74     3.53
 202009301700     0.00     0.00     3.17     0.00     1.34     7.42    13.73     0.00     2.33     0.00     0.00     0.00     0.00     0.00     0.00     5.19     0.00     0.12     9.32     4.56    13.73    20.54     3.51
 202009301800     0.00     0.00     3.16     0.00     1.33     7.40    13.80     0.00     2.30     0.00     0.00     0.00     0.00     0.00     0.00     5.12     0.00     0.12     9.33     4.52    13.60    20.35     3.47
 202009301900     0.00     0.00     3.12     0.00     1.32     7.40    13.89     0.00     2.28     0.00     0.00     0.00     0.00     0.00     0.00     5.05     0.00     0.12     9.28     4.49    13.47    20.16     3.46
 202009302000     0.00     0.00     3.09     0.00     1.31     7.35    14.10     0.00     2.27     0.00     0.00     0.00     0.00     0.00     0.00     4.98     0.00     0.12     9.20     4.46    13.35    19.95     3.43
 202009302100     0.00     0.00     3.05     0.00     1.31     7.35    14.24     0.00     2.24     0.00     0.00     0.00     0.00     0.00     0.00     4.91     0.00     0.11     9.15     4.42    13.24    19.77     3.40
 202009302200     0.00     0.00     3.02     0.00     1.32     7.40    14.32     0.00     2.21     0.00     0.00     0.00     0.00     0.00     0.00     4.84     0.00     0.11     9.08     4.37    13.11    19.57     3.36
 202009302300     0.00     0.00     2.98     0.00     1.31     7.38    14.37     0.00     2.17     0.00     0.00     0.00     0.00     0.00     0.00     4.78     0.00     0.11     9.01     4.32    13.00    19.38     3.32
 202010010000     0.00     0.00     2.95     0.00     1.30     7.43    14.49     0.00     2.14     0.00     0.00     0.00     0.00     0.00     0.00     4.71     0.00     0.11     8.95     4.28    12.86    19.16     3.28
 202010010100     0.00     0.00     2.92     0.00     1.28     7.46    14.50     0.00     2.11     0.00     0.00     0.00     0.00     0.00     0.00     4.65     0.00     0.11     8.90     4.23    12.72    18.96     3.24
 202010010200     0.00     0.00     2.89     0.00     1.27     7.45    14.53     0.00     2.07     0.00     0.00     0.00     0.00     0.00     0.00     4.60     0.00     0.11     8.84     4.19    12.57    18.80     3.23
 202010010300     0.00     0.00     2.85     0.00     1.26     7.51    14.61     0.00     2.04     0.00     0.00     0.00     0.00     0.00     0.00     4.54     0.00     0.11     8.79     4.15    12.43    18.59     3.23
 202010010400     0.00     0.00     2.82     0.00     1.25     7.53    14.59     0.00     2.01     0.00     0.00     0.00     0.00     0.00     0.00     4.48     0.00     0.10     8.72     4.13    12.31    18.39     3.21
 202010010500     0.00     0.00     2.01     0.00     0.70     7.04    14.29     0.00     0.92     0.00     0.00     0.00     0.00     0.00     0.00     3.78     0.00     0.00     8.27     3.64    11.00    17.31     2.76
 202010010600     0.00     0.00     0.69     0.00     0.03     4.13    13.40     0.00     0.21     0.00     0.00     0.00     0.00     0.00     0.00     0.78     0.00     0.00     3.23     0.49     4.36    14.33     0.64
 202010010700     0.00     0.00     0.44     0.00     0.01     1.12    12.27     0.00     0.06     0.00     0.00     0.00     0.00     0.00     0.00     0.22     0.00     0.00     0.92     0.07     1.75    10.66     0.26
 202010010800     0.00     0.00     0.14     0.00     0.00     0.28     9.69     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.01     0.00     0.00     0.30     0.03     0.85     4.35     0.11
 202010010900     0.00     0.00     0.01     0.00     0.00     0.04     6.94     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.08     0.00     0.43     1.26     0.06
 202010011000     0.00     0.00     0.00     0.00     0.00     0.00     3.02     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.26     0.52     0.04
 202010011100     0.00     0.00     0.00     0.00     0.00     0.00     0.65     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.11     0.24     0.00
 202010011200     0.00     0.00     0.00     0.00     0.00     0.00     0.26     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.02     0.08     0.00
 202010011300     0.00     0.00     0.00     0.00     0.00     0.00     0.15     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010011400     0.00     0.00     0.00     0.00     0.00     0.00     0.05     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010011500     0.00     0.00     0.00     0.00     0.00     0.00     0.03     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010011600     0.00     0.00     0.00     0.00     0.00     0.00     0.02     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010011700     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010011800     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010011900     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010012000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010012100     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
