 aaaammgghhpp  AULE00   BOVARA   MAGR01   STUVIG   ARGCAP   GATTOR   LICTAV   BAGNON   PTEGLI   SCRI01   BRUDIG 
 202009290000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202009290100     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202009290200     0.00     0.00     0.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202009290300     0.00     0.00     0.15     0.00     0.00     0.00     0.00     0.00     0.00     0.05     0.00
 202009290400     0.07     0.06     0.23     0.00     0.00     0.00     0.00     0.00     0.00     0.06     0.00
 202009290500     0.11     0.15     0.26     0.07     0.00     0.00     0.00     0.00     0.00     0.50     0.05
 202009290600     0.13     0.21     0.26     0.07     0.00     0.05     0.00     0.00     0.00     1.35     0.20
 202009290700     0.15     0.65     0.27     0.14     0.00     0.10     0.00     0.00     0.01     2.64     0.48
 202009290800     0.17     0.96     0.32     0.30     0.00     0.11     0.01     0.00     0.01     3.89     0.67
 202009290900     0.16     1.14     0.37     0.48     0.00     0.17     0.01     0.00     0.01     4.99     0.90
 202009291000     0.16     1.44     0.37     0.59     0.00     0.22     0.01     0.00     0.01     6.21     1.22
 202009291100     0.18     1.93     0.43     0.70     0.00     0.23     0.01     0.00     0.01     7.48     1.32
 202009291200     0.20     2.33     0.46     0.74     0.00     0.25     0.01     0.00     0.01     8.39     1.46
 202009291300     0.20     2.79     0.47     0.82     0.00     0.28     0.01     0.00     0.03     9.28     1.66
 202009291400     0.19     3.08     0.49     0.93     0.00     0.32     0.01     0.00     0.10     9.99     1.88
 202009291500     0.21     3.29     0.54     1.04     0.00     0.36     0.00     0.00     0.12    10.47     2.02
 202009291600     0.22     3.72     0.58     1.14     0.00     0.42     0.00     0.00     0.14    10.82     2.08
 202009291700     0.24     4.20     0.60     1.19     0.00     0.46     0.00     0.00     0.16    11.27     2.17
 202009291800     0.24     4.51     0.60     1.26     0.00     0.48     0.00     0.00     0.16    11.58     2.24
 202009291900     0.24     4.69     0.65     1.34     0.00     0.51     0.00     0.00     0.15    11.76     2.30
 202009292000     0.23     4.84     0.66     1.35     0.00     0.52     0.00     0.00     0.15    11.93     2.33
 202009292100     0.23     5.08     0.67     1.49     0.00     0.51     0.00     0.00     0.16    12.11     2.37
 202009292200     0.22     5.31     0.66     1.53     0.00     0.52     0.00     0.00     0.16    12.34     2.39
 202009292300     0.22     5.48     0.66     1.56     0.00     0.53     0.00     0.00     0.16    12.39     2.38
 202009300000     0.23     5.68     0.68     1.57     0.00     0.53     0.00     0.00     0.16    12.46     2.41
 202009300100     0.22     5.97     0.68     1.57     0.00     0.52     0.00     0.00     0.19    12.50     2.46
 202009300200     0.21     6.23     0.67     1.59     0.00     0.52     0.00     0.00     0.19    12.51     2.46
 202009300300     0.20     6.53     0.66     1.61     0.00     0.53     0.00     0.00     0.18    12.48     2.48
 202009300400     0.20     6.68     0.65     1.65     0.00     0.53     0.00     0.00     0.18    12.59     2.47
 202009300500     0.20     6.94     0.64     1.72     0.00     0.53     0.00     0.00     0.18    12.55     2.45
 202009300600     0.19     7.04     0.64     1.75     0.00     0.52     0.00     0.00     0.18    12.56     2.43
 202009300700     0.19     7.13     0.63     1.73     0.00     0.52     0.00     0.00     0.19    12.46     2.42
