 aaaammgghhpp  AULSOL   NASCET   SCRMON 
 202009300000     0.00     0.00     0.00
 202009300100     0.00     0.00     0.00
 202009300200     0.00     0.00     0.00
 202009300300     0.06     0.02     0.00
 202009300400     0.07     0.16     0.11
 202009300500     0.08     0.39     0.28
 202009300600     0.08     0.70     0.82
 202009300700     0.09     0.94     1.45
 202009300800     0.10     1.03     1.95
 202009300900     0.10     1.22     2.40
 202009301000     0.10     1.43     2.84
 202009301100     0.11     1.73     3.25
 202009301200     0.14     1.89     3.66
 202009301300     0.13     1.94     4.10
 202009301400     0.14     2.08     4.44
 202009301500     0.15     2.41     4.67
 202009301600     0.16     2.73     4.84
 202009301700     0.16     2.85     4.97
 202009301800     0.17     2.88     5.05
 202009301900     0.16     3.03     5.17
 202009302000     0.16     3.11     5.28
 202009302100     0.15     3.39     5.38
 202009302200     0.15     3.46     5.36
 202009302300     0.14     3.59     5.33
 202010010000     0.14     3.71     5.31
 202010010100     0.14     3.88     5.32
 202010010200     0.13     4.03     5.43
 202010010300     0.13     4.16     5.47
 202010010400     0.14     4.16     5.47
 202010010500     0.14     4.19     5.46
 202010010600     0.13     4.16     5.42
 202010010700     0.13     4.17     5.38
 202010010800     0.13     4.21     5.32
 202010010900     0.13     4.28     5.29
 202010011000     0.12     4.29     5.28
 202010011100     0.12     4.29     5.22
 202010011200     0.11     4.35     5.18
 202010011300     0.11     4.42     5.16
 202010011400     0.11     4.52     5.13
 202010011500     0.11     4.51     5.11
 202010011600     0.11     4.53     5.06
 202010011700     0.10     4.55     5.00
 202010011800     0.10     4.57     4.97
 202010011900     0.10     4.96     4.96
 202010012000     0.10     5.29     8.79
 202010012100     0.10     7.95    15.00
 202010012200     0.09    12.79    22.82
 202010012300     0.32    12.03    41.54
 202010020000     3.04    12.96    48.27
 202010020100    10.71    24.19    51.94
 202010020200     6.24    45.12    54.39
 202010020300     3.90    59.59    47.49
 202010020400     3.16    51.32    26.98
 202010020500     1.47    20.57    15.62
 202010020600     0.63     9.72     9.09
 202010020700     0.23     4.80     3.07
 202010020800     0.18     1.69     1.77
 202010020900     0.08     0.19     0.71
 202010021000     0.00     0.04     0.07
 202010021100     0.00     0.00     0.00
 202010021200     0.00     0.00     0.00
 202010021300     0.00     0.00     0.00
