 aaaammgghhpp  LAMACC   PICCAT 
 202009300000     0.00     0.00
 202009300100     0.00     0.00
 202009300200     0.00     0.00
 202009300300     0.00     0.00
 202009300400     0.04     0.00
 202009300500     0.08     0.00
 202009300600     0.10     0.00
 202009300700     0.18     0.00
 202009300800     0.31     0.00
 202009300900     0.36     0.00
 202009301000     0.40     0.00
 202009301100     0.49     0.00
 202009301200     0.50     0.00
 202009301300     0.50     0.00
 202009301400     0.50     0.00
 202009301500     0.52     0.00
 202009301600     0.59     0.00
 202009301700     0.66     0.00
 202009301800     0.67     0.00
 202009301900     0.70     0.00
 202009302000     0.72     0.00
 202009302100     0.73     0.00
 202009302200     0.72     0.00
 202009302300     0.74     0.00
 202010010000     0.74     0.00
 202010010100     0.75     0.00
 202010010200     0.79     0.00
 202010010300     0.81     0.00
 202010010400     0.83     0.00
 202010010500     0.86     0.00
 202010010600     0.87     0.00
 202010010700     0.87     0.00
 202010010800     0.86     0.00
 202010010900     0.86     0.00
 202010011000     0.86     0.00
 202010011100     0.89     0.00
 202010011200     0.90     0.00
 202010011300     0.90     0.00
 202010011400     0.93     0.00
 202010011500     0.94     0.00
 202010011600     0.95     0.00
 202010011700     0.98     0.00
 202010011800     1.05     0.00
 202010011900     1.08     0.00
 202010012000     1.89     0.00
 202010012100     3.62     0.00
 202010012200     3.30     0.00
 202010012300     3.31     0.00
 202010020000     2.85     0.00
 202010020100     5.75     0.03
 202010020200    16.44     0.20
 202010020300    30.12     1.03
 202010020400    90.41     0.94
 202010020500   361.36     1.38
 202010020600   510.23     1.32
 202010020700   415.76     1.45
 202010020800   303.41     7.41
 202010020900   191.91    11.28
 202010021000   133.03    16.23
 202010021100    91.39    16.44
 202010021200    65.20    19.15
 202010021300    52.49    21.76
 202010021400    48.48    26.71
 202010021500    53.43    38.81
 202010021600    77.52    46.33
 202010021700    65.15    43.12
 202010021800    59.49    47.79
 202010021900    66.14    47.38
 202010022000    62.71    43.95
 202010022100    56.28    32.92
 202010022200    30.78    16.15
 202010022300    16.90     7.50
 202010030000     7.90     3.38
 202010030100     3.07     0.85
 202010030200     0.98     0.09
 202010030300     0.23     0.00
 202010030400     0.01     0.00
 202010030500     0.00     0.00
 202010030600     0.00     0.00
