 aaaammgghhpp  FERRAN   ARGE01   CALAMA   LAPRES   NERVBU   PBATTO   STUR00   IMPTRE   ARRO01   PENNEV   ACQULE   SECCPO   PONTEX   LAVA01   TREB01   SCRBUS   CARCAR 
 202010030000     0.00     0.00     0.00     0.00     0.02     0.00     0.00     0.00     0.07     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.05
 202010030100     0.15     0.00     0.00     0.00     0.04     0.00     0.00     0.00     0.13     0.00     0.01     0.00     0.05     0.00     0.00     0.04     0.40
 202010030200     0.58     0.00     0.16     0.07     0.14     0.00     0.00     0.00     0.21     0.00     0.73     0.34     0.43     0.06     0.17     0.94     0.48
 202010030300     0.54     0.05     0.54     1.35     0.57     0.04     0.01     0.00     0.59     0.08     0.62     1.22     2.06     0.38     1.90     2.35     0.18
 202010030400     0.38     0.64     2.12     2.16     1.54     0.14     1.37     0.08     1.92     0.39     1.00     1.89     2.81     3.01     6.90     3.67     0.12
 202010030500     0.62     4.92     6.05     7.56     1.71     0.92     6.39     0.25     5.79     1.39     1.72     2.85     3.43    12.97    18.31    16.15     0.23
 202010030600     0.40    11.94    14.17    20.50     1.62     3.77    23.68     0.24     7.69     2.80     2.81     9.51     7.08    29.00    35.34    39.02     0.18
 202010030700     0.32    13.20    26.86    41.09     1.65    14.30    58.70     0.23     9.66     3.73     3.46    18.10    23.33    59.55    53.49    87.18     0.51
 202010030800     0.29    14.84    60.04    42.87     1.79    35.89    86.95     0.26    10.84     4.19     3.30    15.07    21.28    97.58    68.41   137.39     0.56
 202010030900     0.33    16.06   104.86    33.62     1.94    68.20   101.56     0.29    12.07     4.24     3.33    16.40    22.90   132.98    76.53   173.13     0.66
 202010031000     0.41    16.83   157.91    20.74     2.01   104.64   107.48     0.31    12.67     4.31     3.23    14.88    18.27   134.85    67.31   174.03     0.68
 202010031100     0.40    17.64   185.23    13.54     2.07   136.53    98.63     0.41    13.07     4.45     3.22    14.80    16.21   112.19    51.98   141.74     0.74
 202010031200     0.41    18.33   191.97    10.41     2.07   160.77    74.20     0.61    13.59     4.67     3.24    13.95    15.07    79.75    38.73   107.19     0.81
 202010031300     0.54    18.80   178.62     9.70     2.04   165.98    56.12     0.71    13.96     4.84     3.25    13.18    14.67    60.13    30.40    81.30     0.83
 202010031400     0.55    19.22   162.67     9.43     2.04   162.34    44.24     0.73    14.10     4.98     3.24    12.70    14.44    51.36    26.89    66.94     0.86
 202010031500     0.55    19.53   147.04     9.24     2.03   150.99    38.89     0.77    14.29     5.16     3.23    12.38    14.23    48.64    24.98    59.86     0.88
 202010031600     0.58    19.59   132.42     9.06     2.02   135.80    36.24     0.88    14.31     5.37     3.25    12.25    14.03    47.62    24.04    55.22     0.92
 202010031700     0.60    19.57   123.12     8.88     2.00   123.61    35.15     0.97    14.32     5.51     3.22    12.09    13.81    46.76    22.87    52.67     0.94
 202010031800     0.62    19.43   118.99     8.71     1.97   116.18    34.46     1.06    14.21     5.69     3.16    11.93    13.61    46.00    22.09    51.21     0.99
 202010031900     0.65    19.32   116.86     8.54     1.95   111.99    33.90     1.10    14.12     5.81     3.11    11.74    13.40    45.22    21.54    50.18     1.00
 202010032000     0.66    19.20   115.55     8.67     1.93   109.01    33.41     1.19    13.98     5.85     3.07    11.67    13.18    44.52    21.36    49.24     1.03
 202010032100     0.66    19.02   118.42     8.80     1.90   108.99    33.58     1.24    14.05     5.85     3.03    11.67    13.11    44.03    21.48    48.96     1.09
 202010032200     0.65    18.92   131.32     8.41     1.87   119.03    33.89     1.23    13.76     5.91     2.96    11.41    12.83    43.89    21.10    49.57     1.13
 202010032300     0.72    18.68   166.01     8.16     1.84   136.87    33.38     1.24    13.55     5.93     2.90    11.16    12.60    43.58    20.95    48.68     1.16
