 aaaammgghhpp  FERRAN   ARGE01   CALAMA   LAPRES   NERV01   PBATTO   STUR00   IMPTRE   ARRO01   PENNEV   ACQULE   SECCPO   PONTEX   LAVA01   TREB01   SCRBUS   CARCAR   STSGIU 
 202202080000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202202080100     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.02     0.00     0.00     0.01     0.00     0.00
 202202080200     0.00     0.00     0.22     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.10     0.00     0.11     0.02     0.04     0.06     0.00     0.00
 202202080300     0.00     0.00     0.68     0.08     0.00     0.13     0.01     0.00     0.00     0.00     0.12     0.00     0.17     0.07     0.08     0.27     0.00     0.00
 202202080400     0.00     0.00     1.32     0.34     0.00     0.32     0.10     0.00     0.00     0.00     0.16     0.00     0.17     0.15     0.08     0.48     0.00     0.00
 202202080500     0.00     0.00     2.03     0.56     0.01     1.01     0.28     0.00     0.00     0.00     0.21     0.04     0.37     0.53     0.29     0.59     0.00     0.00
 202202080600     0.00     0.00     2.84     1.24     0.02     2.10     0.52     0.00     0.00     0.00     0.31     0.09     0.69     0.99     0.64     1.62     0.00     0.00
 202202080700     0.00     0.00     3.73     1.64     0.02     4.43     0.88     0.00     0.00     0.00     0.39     0.18     0.91     1.80     0.92     3.56     0.00     0.00
 202202080800     0.00     0.00     4.79     1.89     0.03     7.71     1.22     0.00     0.00     0.00     0.49     0.27     1.23     2.84     1.48     5.75     0.00     0.00
 202202080900     0.00     0.00     5.99     2.48     0.03    11.59     1.80     0.00     0.00     0.00     0.57     0.29     1.42     3.84     2.11     7.20     0.00     0.00
 202202081000     0.00     0.00     7.65     3.07     0.03    15.29     2.34     0.00     0.00     0.00     0.64     0.32     1.56     4.72     2.30     9.23     0.00     0.00
 202202081100     0.00     0.00     8.98     3.40     0.03    19.07     2.82     0.00     0.00     0.00     0.63     0.38     1.74     5.53     2.72    11.26     0.00     0.00
 202202081200     0.00     0.00    10.56     3.62     0.03    22.93     3.37     0.00     0.00     0.00     0.69     0.41     1.90     5.98     3.12    12.98     0.00     0.00
 202202081300     0.00     0.00    12.04     3.76     0.03    26.55     4.00     0.00     0.00     0.00     0.76     0.47     1.96     6.63     3.34    14.59     0.00     0.01
 202202081400     0.00     0.00    13.27     3.90     0.03    30.16     4.53     0.00     0.00     0.00     0.80     0.53     1.96     7.16     3.65    15.58     0.00     0.04
 202202081500     0.00     0.00    14.58     4.00     0.03    32.88     4.95     0.00     0.00     0.00     0.80     0.56     1.99     7.61     3.91    16.42     0.00     0.06
 202202081600     0.00     0.00    15.51     4.04     0.03    35.26     5.55     0.00     0.00     0.00     0.83     0.61     2.02     8.02     4.01    16.89     0.00     0.06
 202202081700     0.00     0.00    16.53     4.10     0.03    36.86     6.16     0.00     0.00     0.00     0.87     0.61     2.04     8.47     4.03    17.36     0.00     0.06
 202202081800     0.00     0.00    17.51     4.14     0.03    38.70     6.57     0.00     0.00     0.00     0.89     0.62     2.03     8.87     4.08    17.80     0.00     0.06
