 aaaammgghhpp  AULSOL   NASCET   SCRMON   TREFON   PENBOR   NERVBU 
 202202080000     0.00     0.00     0.00     0.00     0.00     0.00
 202202080100     0.01     0.00     0.00     0.00     0.00     0.00
 202202080200     0.11     0.15     0.00     0.00     0.01     0.00
 202202080300     0.33     1.36     0.05     0.00     0.10     0.00
 202202080400     0.39     3.64     0.32     0.00     0.10     0.00
 202202080500     0.47     6.67     0.63     0.03     0.12     0.01
 202202080600     0.73    10.74     1.36     0.07     0.15     0.01
 202202080700     1.06    14.33     2.36     0.12     0.22     0.01
 202202080800     1.34    16.79     3.32     0.24     0.42     0.01
 202202080900     1.62    19.21     4.03     0.41     0.58     0.01
 202202081000     1.78    21.61     4.77     0.44     0.71     0.01
 202202081100     2.08    24.12     5.64     0.50     0.85     0.01
 202202081200     2.37    26.11     6.26     0.56     1.05     0.01
 202202081300     2.59    27.98     6.67     0.63     1.19     0.01
 202202081400     2.87    29.35     7.01     0.71     1.29     0.01
 202202081500     3.04    30.14     7.28     0.71     1.47     0.01
 202202081600     3.20    30.65     7.43     0.73     1.62     0.01
 202202081700     3.30    31.07     7.59     0.73     1.75     0.01
 202202081800     3.41    31.22     7.58     0.72     1.86     0.01
 202202081900     3.51    31.40     7.61     0.72     1.93     0.01
 202202082000     3.57    31.77     7.65     0.72     1.97     0.01
 202202082100     3.64    31.84     7.73     0.73     2.03     0.01
 202202082200     3.76    31.68     7.68     0.72     2.10     0.01
 202202082300     3.86    31.64     7.67     0.71     2.13     0.01
 202202090000     3.92    31.55     7.66     0.71     2.21     0.01
 202202090100     4.07    31.38     7.68     0.73     2.26     0.01
 202202090200     4.19    31.26     7.59     0.74     2.27     0.01
 202202090300     4.30    31.06     7.51     0.74     2.29     0.01
 202202090400     4.36    30.89     7.45     0.73     2.27     0.01
 202202090500     4.40    30.69     7.37     0.72     2.28     0.01
 202202090600     4.44    30.42     7.28     0.71     2.27     0.01
 202202090700     4.53    30.05     7.21     0.70     2.25     0.01
 202202090800     4.60    29.77     7.15     0.69     2.25     0.01
 202202090900     4.71    29.46     7.07     0.68     2.24     0.01
 202202091000     4.78    29.10     6.99     0.67     2.22     0.01
 202202091100     4.81    28.77     6.90     0.66     2.26     0.01
 202202091200     4.87    28.40     6.81     0.65     2.32     0.01
 202202091300     4.92    28.02     6.73     0.65     2.33     0.01
 202202091400     4.96    27.61     6.64     0.64     2.34     0.01
 202202091500     4.97    27.19     6.56     0.63     2.31     0.01
 202202091600     4.97    26.81     6.48     0.62     2.29     0.01
 202202091700     4.97    26.42     6.40     0.61     2.28     0.01
 202202091800     5.02    26.03     6.32     0.60     2.28     0.01
 202202091900     5.04    25.64     6.24     0.59     2.27     0.01
 202202092000     5.04    25.27     6.16     0.59     2.28     0.01
 202202092100     5.08    24.89     6.09     0.58     2.28     0.01
 202202092200     5.11    24.54     6.01     0.57     2.33     0.01
 202202092300     5.16    24.17     5.94     0.57     2.34     0.01
 202202100000     5.19    23.80     5.86     0.57     2.31     0.01
 202202100100     5.18    23.44     5.79     0.57     2.30     0.00
 202202100200     5.22    23.08     5.72     0.57     2.28     0.00
 202202100300     5.30    22.73     5.64     0.57     2.25     0.00
 202202100400     5.33    22.39     5.57     0.56     2.23     0.00
 202202100500     5.34    22.06     5.51     0.56     2.21     0.00
 202202100600     5.39    21.72     5.44     0.55     2.19     0.00
 202202100700     5.40    21.41     5.37     0.54     2.17     0.00
 202202100800     5.40    21.10     5.30     0.53     2.15     0.00
 202202100900     5.38    20.79     5.23     0.53     2.13     0.00
 202202101000     5.12    19.68     3.63     0.22     1.18     0.00
 202202101100     3.13    14.71     0.99     0.14     0.16     0.00
 202202101200     0.36     4.93     0.52     0.08     0.01     0.00
 202202101300     0.07     1.37     0.28     0.05     0.00     0.00
 202202101400     0.04     0.55     0.13     0.00     0.00     0.00
 202202101500     0.03     0.19     0.01     0.00     0.00     0.00
 202202101600     0.00     0.09     0.00     0.00     0.00     0.00
 202202101700     0.00     0.00     0.00     0.00     0.00     0.00
 202202101800     0.00     0.00     0.00     0.00     0.00     0.00
 202202101900     0.00     0.00     0.00     0.00     0.00     0.00
 202202102000     0.00     0.00     0.00     0.00     0.00     0.00
