 aaaammgghhpp  ARGE00   ARME00   ARRE00   AVET00   BOAT00   CARA00   CAST00   CERU00   CERV00   ERRO00   IMPE00   LEIR00   LERO00   LETI00   MARE00   MERETA   MERU00   MOLIBR   NERV00   PANESI   POLC00   PORA00   POSARA   POSLEV   PRIN00   QUIL00   RECC00   ROSSIG   SCIU00   SEGN00   SLOR00   TANA00   TEIR00   TIGLIE   VARA00   VCRO00   SANS00   CHIA00   BISA00   STRL00   NRVI00   SORI00   RUPI00   GHIA00   AMEF00   TREB00   CRIXIA   CENGIO   VARPEG 
 202202080000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202202080100     0.00     0.00     0.00     0.00     0.03     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202202080200     0.00     0.00     0.00     0.00     0.04     0.00     0.00     0.00     0.00     0.06     0.00     0.10     0.00     0.00     0.00     0.10     0.00     0.00     0.00     0.04     0.07     0.00     0.00     0.00     0.00     0.00     0.00     0.07     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.02     0.16     0.00     0.00     0.00     0.00     0.00     0.02     0.00     0.00     0.00     0.00
 202202080300     0.00     0.00     0.00     0.03     0.05     0.00     0.00     0.00     0.00     0.20     0.00     0.12     0.00     0.03     0.00     0.50     0.00     0.00     0.00     0.15     0.34     0.00     0.03     0.00     0.00     0.00     0.00     0.10     0.00     0.00     0.00     0.00     0.00     0.05     0.00     0.00     0.00     0.11     0.40     0.00     0.00     0.00     0.00     0.00     0.27     0.00     0.00     0.00     0.01
 202202080400     0.00     0.00     0.00     0.11     0.23     0.00     0.00     0.05     0.00     0.28     0.00     0.24     0.00     0.03     0.00     1.10     0.00     0.00     0.00     0.78     0.57     0.00     0.13     0.00     0.00     0.00     0.09     0.43     0.00     0.00     0.00     0.00     0.01     0.35     0.00     0.00     0.00     0.19     0.59     0.04     0.10     0.08     0.00     0.00     0.85     0.07     0.00     0.00     0.20
 202202080500     0.00     0.00     0.00     0.60     0.33     0.00     0.00     0.20     0.00     0.65     0.00     0.30     0.02     0.05     0.00     1.94     0.00     0.00     0.00     2.12     0.84     0.00     0.24     0.00     0.00     0.00     0.42     0.85     0.00     0.00     0.00     0.00     0.02     1.58     0.00     0.00     0.00     0.25     1.08     0.13     0.16     0.16     0.06     0.00     2.06     0.52     0.00     0.00     0.42
 202202080600     0.00     0.00     0.00     1.90     0.51     0.00     0.00     0.32     0.00     1.37     0.00     0.48     0.02     0.05     0.00     3.18     0.00     0.00     0.00     4.36     1.24     0.00     0.37     0.00     0.00     0.01     0.74     1.76     0.00     0.00     0.00     0.00     0.04     2.41     0.00     0.00     0.00     0.31     1.76     0.24     0.20     0.26     0.06     0.00     3.40     1.62     0.00     0.00     0.56
 202202080700     0.00     0.00     0.00     4.09     0.68     0.00     0.00     0.36     0.00     2.37     0.00     0.64     0.03     0.05     0.00     5.53     0.00     0.00     0.02     7.60     1.63     0.00     0.59     0.03     0.00     0.01     1.07     3.14     0.00     0.01     0.00     0.00     0.04     3.33     0.00     0.00     0.00     0.36     2.42     0.24     0.26     0.43     0.06     0.00     5.74     3.05     0.00     0.00     0.73
 202202080800     0.00     0.00     0.00     5.50     0.93     0.00     0.02     0.52     0.00     3.05     0.00     0.80     0.03     0.05     0.00     8.23     0.00     0.01     0.02    10.91     2.14     0.00     0.78     0.07     0.00     0.01     1.34     4.50     0.00     0.01     0.00     0.00     0.04     4.06     0.00     0.00     0.00     0.38     3.40     0.25     0.26     0.44     0.06     0.00     8.19     4.73     0.00     0.00     0.85
 202202080900     0.00     0.00     0.00     7.98     0.99     0.00     0.09     0.63     0.00     4.12     0.00     0.95     0.03     0.05     0.00    11.44     0.00     0.01     0.03    13.72     2.63     0.00     1.05     0.13     0.00     0.01     1.52     5.75     0.00     0.01     0.00     0.00     0.05     4.90     0.00     0.00     0.00     0.41     4.09     0.33     0.34     0.61     0.06     0.00    12.12     6.30     0.00     0.00     1.24
