 aaaammgghhpp  ARGEME   ARMVAL   AVECAB   CAIROM   CAMINA   CARASC   FORNOL   IMPERU   MOLINE   MURIAL   DOLCEA   NEVCIS   PORTOV   SANTUA   VOBBIE   QUAZQU   BOLSTE   POLCAM   BISMOL   ROVEGN   SCRISO   CAMPST   OSIGLT   PPOGGI 
 202202080000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202202080100     0.00     0.00     0.00     0.00     0.00     0.00     0.12     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.06     0.00     0.00     0.00     0.00     0.00
 202202080200     0.00     0.00     0.00     0.00     0.00     0.02     0.29     0.00     0.10     0.00     0.00     0.00     0.00     0.00     0.04     0.00     0.00     0.09     0.08     0.00     0.12     0.00     0.00     0.00
 202202080300     0.00     0.00     0.03     0.00     0.00     0.05     0.64     0.00     0.20     0.00     0.00     0.00     0.00     0.00     0.11     0.00     0.00     0.32     0.12     0.04     0.50     0.04     0.00     0.00
 202202080400     0.00     0.00     0.08     0.00     0.00     0.12     1.69     0.00     0.25     0.00     0.00     0.00     0.00     0.00     0.11     0.00     0.00     0.51     0.37     0.08     1.10     0.23     0.00     0.00
 202202080500     0.00     0.00     0.27     0.00     0.00     0.58     2.93     0.00     0.32     0.00     0.01     0.00     0.00     0.00     0.64     0.00     0.00     0.71     0.91     0.43     1.49     0.72     0.00     0.00
 202202080600     0.00     0.00     0.47     0.00     0.15     1.24     5.01     0.00     0.49     0.00     0.02     0.00     0.00     0.00     1.73     0.00     0.00     1.10     1.41     1.01     2.08     1.49     0.00     0.00
 202202080700     0.00     0.00     0.86     0.00     0.30     2.36     7.41     0.00     0.66     0.00     0.02     0.00     0.00     0.00     2.40     0.00     0.00     1.64     2.32     2.66     3.57     2.80     0.00     0.00
 202202080800     0.00     0.00     1.12     0.00     0.44     3.92    11.29     0.00     0.82     0.00     0.03     0.00     0.00     0.00     3.02     0.00     0.00     2.04     2.73     3.58     6.02     3.87     0.00     0.00
 202202080900     0.00     0.00     1.76     0.00     0.51     5.53    16.41     0.00     0.95     0.00     0.03     0.00     0.00     0.00     4.26     0.00     0.00     2.47     3.29     5.02     8.56     4.49     0.00     0.00
