aaaammgghhpp	AULSOL	NASCET	SCRMON	TREFON	PENBOR	NERVBU	
202202080000	3.08	1.84	0.46	0.00	0.00	0.00	
202202080100	2.90	1.73	0.43	0.00	0.00	0.00	
202202080200	2.83	1.78	0.41	0.00	0.01	0.00	
202202080300	2.88	2.89	0.43	0.00	0.10	0.00	
202202080400	2.79	5.08	0.68	0.00	0.10	0.00	
202202080500	2.72	8.02	0.97	0.03	0.12	0.01	
202202080600	2.85	12.01	1.68	0.07	0.15	0.01	
202202080700	3.05	15.52	2.66	0.12	0.22	0.01	
202202080800	3.21	17.91	3.60	0.24	0.42	0.01	
202202080900	3.38	20.26	4.29	0.41	0.58	0.01	
202202081000	3.43	22.60	5.02	0.44	0.71	0.01	
202202081100	3.63	25.05	5.87	0.50	0.85	0.01	
202202081200	3.83	26.98	6.48	0.56	1.05	0.01	
202202081300	3.96	28.80	6.87	0.63	1.19	0.01	
202202081400	4.15	30.12	7.20	0.71	1.29	0.01	
202202081500	4.25	30.86	7.46	0.71	1.47	0.01	
202202081600	4.33	31.33	7.60	0.73	1.62	0.01	
202202081700	4.36	31.71	7.75	0.73	1.75	0.01	
202202081800	4.41	31.82	7.73	0.72	1.86	0.01	
202202081900	4.45	31.96	7.75	0.72	1.93	0.01	
202202082000	4.45	32.30	7.78	0.72	1.97	0.01	
202202082100	4.47	32.34	7.85	0.73	2.03	0.01	
202202082200	4.54	32.15	7.80	0.72	2.10	0.01	
202202082300	4.59	32.08	7.78	0.71	2.13	0.01	
202202090000	4.61	31.96	7.76	0.71	2.21	0.01	
202202090100	4.72	31.77	7.78	0.73	2.26	0.01	
202202090200	4.80	31.62	7.68	0.74	2.27	0.01	
202202090300	4.87	31.40	7.60	0.74	2.29	0.01	
202202090400	4.90	31.21	7.53	0.73	2.27	0.01	
202202090500	4.90	30.99	7.45	0.72	2.28	0.01	
202202090600	4.91	30.70	7.35	0.71	2.27	0.01	
202202090700	4.97	30.32	7.28	0.70	2.25	0.01	
202202090800	5.02	30.02	7.21	0.69	2.25	0.01	
202202090900	5.10	29.69	7.13	0.68	2.24	0.01	
202202091000	5.15	29.32	7.04	0.67	2.22	0.01	
202202091100	5.16	28.98	6.95	0.66	2.26	0.01	
202202091200	5.19	28.59	6.86	0.65	2.32	0.01	
202202091300	5.23	28.20	6.78	0.65	2.33	0.01	
202202091400	5.25	27.78	6.68	0.64	2.34	0.01	
202202091500	5.24	27.35	6.60	0.63	2.31	0.01	
202202091600	5.22	26.96	6.52	0.62	2.29	0.01	
202202091700	5.21	26.56	6.44	0.61	2.28	0.01	
202202091800	5.24	26.16	6.35	0.60	2.28	0.01	
202202091900	5.25	25.77	6.27	0.59	2.27	0.01	
202202092000	5.24	25.39	6.19	0.59	2.28	0.01	
202202092100	5.27	25.00	6.12	0.58	2.28	0.01	
202202092200	5.28	24.64	6.04	0.57	2.33	0.01	
202202092300	5.32	24.27	5.96	0.57	2.34	0.01	
202202100000	5.34	23.89	5.88	0.57	2.31	0.01	
202202100100	5.32	23.53	5.81	0.57	2.30	0.00	
202202100200	5.36	23.16	5.74	0.57	2.28	0.00	
202202100300	5.43	22.81	5.66	0.57	2.25	0.00	
202202100400	5.45	22.46	5.59	0.56	2.23	0.00	
202202100500	5.45	22.13	5.53	0.56	2.21	0.00	
202202100600	5.50	21.78	5.46	0.55	2.19	0.00	
202202100700	5.50	21.47	5.38	0.54	2.17	0.00	
202202100800	5.49	21.16	5.31	0.53	2.15	0.00	
202202100900	5.22	20.02	3.69	0.22	1.19	0.00	
202202101000	3.24	14.98	1.02	0.14	0.16	0.00	
202202101100	0.45	5.09	0.55	0.08	0.01	0.00	
202202101200	0.14	1.46	0.30	0.05	0.00	0.00	
202202101300	0.11	0.62	0.14	0.00	0.00	0.00	
202202101400	0.09	0.24	0.02	0.00	0.00	0.00	
202202101500	0.06	0.13	0.01	0.00	0.00	0.00	
202202101600	0.06	0.03	0.01	0.00	0.00	0.00	
202202101700	0.05	0.03	0.01	0.00	0.00	0.00	
202202101800	0.05	0.03	0.01	0.00	0.00	0.00	
202202101900	0.05	0.03	0.01	0.00	0.00	0.00	
