aaaammgghhpp	ARGEME	ARMVAL	AVECAB	CAIROM	CAMINA	CARASC	FORNOL	IMPERU	MOLINE	MURIAL	DOLCEA	NEVCIS	PORTOV	SANTUA	VOBBIE	QUAZQU	BOLSTE	POLCAM	BISMOL	ROVEGN	SCRISO	CAMPST	OSIGLT	PPOGGI	
202202080000	0.65	0.00	0.71	0.00	0.48	0.90	0.00	0.00	0.00	6.01	0.00	0.27	0.36	0.00	16.25	0.00	0.11	0.00	0.00	0.87	0.00	0.00	0.00	0.00	
202202080100	0.65	0.00	0.67	0.00	0.45	0.84	0.12	0.00	0.00	6.01	0.00	0.27	0.36	0.00	15.27	0.00	0.11	0.00	0.06	0.82	0.00	0.00	0.00	0.00	
202202080200	0.65	0.00	0.63	0.00	0.42	0.81	0.29	0.00	0.10	6.01	0.00	0.27	0.36	0.00	14.38	0.00	0.11	0.09	0.08	0.77	0.12	0.00	0.00	0.00	
202202080300	0.65	0.00	0.62	0.00	0.40	0.80	0.64	0.00	0.20	6.01	0.00	0.27	0.36	0.00	13.58	0.00	0.10	0.32	0.12	0.76	0.50	0.04	0.00	0.00	
202202080400	0.65	0.00	0.64	0.00	0.37	0.82	1.69	0.00	0.25	6.00	0.00	0.27	0.36	0.00	12.77	0.00	0.10	0.51	0.37	0.76	1.10	0.23	0.00	0.00	
202202080500	0.65	0.00	0.79	0.00	0.35	1.24	2.93	0.00	0.32	6.00	0.01	0.27	0.36	0.00	12.53	0.00	0.10	0.71	0.91	1.07	1.49	0.72	0.00	0.00	
202202080600	0.65	0.00	0.96	0.00	0.48	1.86	5.01	0.00	0.49	6.00	0.02	0.27	0.36	0.00	12.90	0.00	0.10	1.10	1.41	1.61	2.08	1.49	0.00	0.00	
202202080700	0.65	0.00	1.32	0.00	0.61	2.94	7.41	0.00	0.66	6.00	0.02	0.27	0.36	0.00	12.89	0.00	0.10	1.64	2.32	3.22	3.57	2.80	0.00	0.00	
202202080800	0.65	0.00	1.55	0.00	0.73	4.47	11.29	0.00	0.82	6.00	0.03	0.27	0.36	0.00	12.88	0.00	0.10	2.04	2.73	4.11	6.02	3.87	0.00	0.00	
202202080900	0.64	0.00	2.17	0.00	0.78	6.04	16.41	0.00	0.95	6.00	0.03	0.27	0.36	0.00	13.52	0.00	0.09	2.47	3.29	5.52	8.56	4.49	0.00	0.00	
202202081000	0.64	0.00	2.52	0.00	1.04	7.42	22.23	0.00	1.02	6.00	0.03	0.27	0.36	0.00	13.99	0.00	0.09	2.71	4.21	6.54	10.56	5.36	0.00	0.00	
202202081100	0.64	0.00	2.84	0.00	1.26	8.65	27.99	0.00	1.03	6.00	0.03	0.27	0.36	0.00	14.27	0.00	0.09	2.88	4.84	7.67	12.88	5.85	0.00	0.00	
202202081200	0.64	0.00	3.20	0.00	1.30	9.53	33.30	0.00	1.12	5.99	0.03	0.27	0.36	0.00	14.46	0.00	0.09	3.15	5.22	8.82	15.26	6.31	0.00	0.00	
202202081300	0.64	0.00	3.41	0.00	1.36	10.74	39.22	0.00	1.22	5.99	0.03	0.27	0.36	0.00	14.27	0.00	0.09	3.39	5.48	10.14	17.31	6.69	0.00	0.00	
202202081400	0.64	0.00	3.56	0.00	1.44	11.92	44.86	0.00	1.30	5.99	0.03	0.27	0.36	0.00	14.02	0.00	0.09	3.55	5.69	11.09	19.21	6.89	0.00	0.01	
202202081500	0.64	0.00	3.85	0.00	1.55	12.77	49.97	0.00	1.30	5.99	0.03	0.27	0.36	0.00	13.80	0.00	0.09	3.57	5.88	11.51	20.45	7.09	0.00	0.04	
202202081600	0.64	0.00	4.03	0.00	1.63	13.77	53.95	0.00	1.30	5.99	0.03	0.27	0.36	0.00	13.45	0.00	0.09	3.62	5.95	11.96	21.35	7.18	0.00	0.06	
202202081700	0.64	0.00	4.17	0.00	1.71	14.68	57.56	0.00	1.36	5.99	0.03	0.27	0.36	0.00	13.17	0.00	0.08	3.70	6.02	12.11	21.96	7.23	0.00	0.06	
202202081800	0.64	0.00	4.36	0.00	1.76	15.51	60.41	0.00	1.39	5.99	0.03	0.27	0.36	0.00	12.84	0.00	0.08	3.71	6.12	12.24	22.52	7.24	0.00	0.06	
202202081900	0.64	0.00	4.62	0.00	1.76	16.23	63.34	0.00	1.45	5.99	0.03	0.27	0.36	0.00	12.55	0.00	0.08	3.80	6.17	12.39	23.04	7.21	0.00	0.06	
202202082000	0.64	0.00	4.81	0.00	1.79	16.78	66.10	0.00	1.52	5.98	0.02	0.27	0.36	0.00	12.31	0.00	0.08	3.79	6.29	12.67	23.36	7.24	0.00	0.06	
202202082100	0.64	0.00	4.89	0.00	1.82	17.23	68.52	0.00	1.52	5.98	0.02	0.27	0.35	0.00	12.00	0.00	0.08	3.89	6.34	12.89	23.48	7.25	0.00	0.07	
202202082200	0.64	0.00	5.02	0.00	1.86	17.58	70.69	0.00	1.54	5.98	0.02	0.27	0.35	0.00	11.68	0.00	0.08	3.99	6.38	13.00	23.68	7.27	0.00	0.07	
202202082300	0.64	0.00	5.10	0.00	1.91	17.96	72.74	0.00	1.55	5.98	0.02	0.27	0.35	0.00	11.39	0.00	0.08	4.04	6.44	13.08	23.85	7.24	0.00	0.11	
202202090000	0.64	0.00	5.24	0.00	1.95	18.23	74.96	0.00	1.56	5.98	0.02	0.27	0.35	0.00	11.09	0.00	0.08	4.10	6.47	13.17	23.90	7.17	0.00	0.14	
202202090100	0.64	0.00	5.29	0.00	1.97	18.37	76.59	0.00	1.58	5.98	0.02	0.27	0.35	0.00	10.79	0.00	0.07	4.12	6.49	13.16	23.86	7.11	0.00	0.15	
202202090200	0.64	0.00	5.33	0.00	1.96	18.62	78.11	0.00	1.57	5.98	0.02	0.27	0.35	0.00	10.50	0.00	0.07	4.12	6.48	13.21	23.85	7.02	0.00	0.15	
202202090300	0.63	0.00	5.31	0.00	1.99	18.97	79.42	0.00	1.56	5.98	0.02	0.27	0.35	0.00	10.25	0.00	0.07	4.18	6.47	13.33	23.87	6.98	0.00	0.15	
