aaaammgghhpp	FERRAN	ARGE01	CALAMA	LAPRES	NERV01	PBATTO	STUR00	IMPTRE	ARRO01	PENNEV	ACQULE	SECCPO	PONTEX	LAVA01	TREB01	SCRBUS	CARCAR	STSGIU	
202202080000	0.15	0.00	8.57	0.00	0.00	2.65	0.00	0.00	0.00	0.00	0.00	0.00	0.70	1.58	0.00	0.00	0.00	0.00	
202202080100	0.15	0.00	8.05	0.00	0.00	2.49	0.00	0.00	0.00	0.00	0.00	0.00	0.68	1.48	0.00	0.01	0.00	0.00	
202202080200	0.15	0.00	7.78	0.00	0.00	2.34	0.00	0.00	0.00	0.00	0.10	0.00	0.73	1.41	0.04	0.06	0.00	0.00	
202202080300	0.15	0.00	7.78	0.08	0.00	2.32	0.01	0.00	0.00	0.00	0.12	0.00	0.75	1.38	0.08	0.27	0.00	0.00	
202202080400	0.15	0.00	7.99	0.34	0.00	2.38	0.10	0.00	0.00	0.00	0.16	0.00	0.72	1.38	0.08	0.48	0.00	0.00	
202202080500	0.15	0.00	8.30	0.56	0.01	2.95	0.28	0.00	0.00	0.00	0.21	0.04	0.89	1.68	0.29	0.59	0.00	0.00	
202202080600	0.15	0.00	8.73	1.24	0.02	3.92	0.52	0.00	0.00	0.00	0.31	0.09	1.17	2.07	0.64	1.62	0.00	0.00	
202202080700	0.15	0.00	9.26	1.64	0.02	6.14	0.88	0.00	0.00	0.00	0.39	0.18	1.36	2.82	0.92	3.56	0.00	0.00	
202202080800	0.15	0.00	9.99	1.89	0.03	9.32	1.22	0.00	0.00	0.00	0.49	0.27	1.66	3.80	1.48	5.75	0.00	0.00	
202202080900	0.15	0.00	10.87	2.48	0.03	13.10	1.80	0.00	0.00	0.00	0.57	0.29	1.82	4.74	2.11	7.20	0.00	0.00	
202202081000	0.15	0.00	12.24	3.07	0.03	16.71	2.34	0.00	0.00	0.00	0.64	0.32	1.94	5.56	2.30	9.23	0.00	0.00	
202202081100	0.15	0.00	13.29	3.40	0.03	20.40	2.82	0.00	0.00	0.00	0.63	0.38	2.09	6.32	2.72	11.26	0.00	0.00	
202202081200	0.15	0.00	14.61	3.62	0.03	24.18	3.37	0.00	0.00	0.00	0.69	0.41	2.23	6.73	3.12	12.98	0.00	0.00	
