aaaammgghhpp	LAMACC	PICCAT	
202202080000	0.00	0.00	
202202080100	0.00	0.00	
202202080200	0.00	0.00	
202202080300	0.07	0.00	
202202080400	0.20	0.02	
202202080500	0.52	0.04	
202202080600	0.94	0.05	
202202080700	1.63	0.08	
202202080800	2.19	0.15	
202202080900	2.99	0.21	
202202081000	3.77	0.28	
202202081100	4.61	0.39	
202202081200	5.31	0.46	
202202081300	6.11	0.54	
202202081400	6.90	0.74	
202202081500	7.60	0.93	
202202081600	8.34	1.03	
202202081700	9.04	1.11	
202202081800	9.50	1.21	
202202081900	10.25	1.27	
202202082000	10.82	1.45	
202202082100	11.33	1.69	
202202082200	11.68	1.83	
202202082300	11.91	1.90	
202202090000	12.28	1.94	
202202090100	12.45	2.01	
202202090200	12.72	2.13	
202202090300	12.90	2.19	
202202090400	13.00	2.30	
202202090500	13.17	2.42	
202202090600	13.29	2.47	
202202090700	13.40	2.58	
202202090800	13.46	2.71	
202202090900	13.58	2.84	
202202091000	13.68	2.90	
202202091100	13.72	2.97	
202202091200	13.69	3.04	
202202091300	13.67	3.06	
202202091400	13.63	3.10	
202202091500	13.64	3.12	
202202091600	13.69	3.18	
202202091700	13.65	3.30	
202202091800	13.59	3.35	
202202091900	13.55	3.37	
202202092000	13.46	3.36	
202202092100	13.43	3.37	
202202092200	13.37	3.36	
202202092300	13.28	3.36	
202202100000	13.22	3.36	
202202100100	13.15	3.37	
202202100200	13.10	3.42	
202202100300	13.07	3.44	
202202100400	13.05	3.50	
202202100500	12.96	3.57	
202202100600	12.86	3.65	
202202100700	12.74	3.68	
202202100800	12.67	3.76	
202202100900	12.63	3.74	
202202101000	12.53	3.73	
202202101100	12.46	3.73	
202202101200	12.35	3.72	
202202101300	12.24	3.72	
202202101400	12.13	3.70	
202202101500	12.04	3.69	
202202101600	11.94	3.69	
202202101700	11.84	3.67	
202202101800	10.59	2.89	
202202101900	3.98	0.47	
202202102000	1.12	0.10	
202202102100	0.38	0.04	
202202102200	0.14	0.00	
202202102300	0.07	0.00	
202202110000	0.00	0.00	
202202110100	0.00	0.00	
202202110200	0.00	0.00	
202202110300	0.00	0.00	
