a1sDateVet a1dLivOssMean a1dQOssMean a1dLivOssMax a1dQOssMax flagSdD
202202080000 1.33 -9999 1.33 -9999 -9999
202202080100 1.32 -9999 1.33 -9999 -9999
202202080200 1.32 -9999 1.32 -9999 -9999
202202080300 1.32 -9999 1.32 -9999 -9999
202202080400 1.32 -9999 1.32 -9999 -9999
202202080500 1.32 -9999 1.32 -9999 -9999
202202080600 1.32 -9999 1.32 -9999 -9999
202202080700 1.32 -9999 1.32 -9999 -9999
202202080800 1.32 -9999 1.32 -9999 -9999
202202080900 1.31 -9999 1.32 -9999 -9999
202202081000 1.32 -9999 1.32 -9999 -9999
202202081100 1.32 -9999 1.33 -9999 -9999
202202081200 1.36 2.16 1.37 2.31 4
202202081300 1.37 2.31 1.38 2.47 4
202202081400 1.37 2.31 1.38 2.47 4
202202081500 1.34 -9999 1.36 2.16 -9999
202202081600 1.32 -9999 1.33 -9999 -9999
202202081700 1.32 -9999 1.33 -9999 -9999
202202081800 1.32 -9999 1.32 -9999 -9999
202202081900 1.32 -9999 1.32 -9999 -9999
202202082000 1.31 -9999 1.32 -9999 -9999
202202082100 1.32 -9999 1.32 -9999 -9999
202202082200 1.32 -9999 1.32 -9999 -9999
202202082300 1.44 3.58 1.54 6 4
202202090000 1.55 6.28 1.56 6.57 4
202202090100 1.52 5.46 1.55 6.28 4
202202090200 1.43 3.38 1.45 3.79 4
202202090300 1.4 2.81 1.42 3.18 4
202202090400 1.39 2.64 1.4 2.81 4
202202090500 1.38 2.47 1.39 2.64 4
202202090600 1.34 -9999 1.36 2.16 -9999
202202090700 1.33 -9999 1.34 -9999 -9999
202202090800 1.32 -9999 1.33 -9999 -9999
202202090900 1.32 -9999 1.33 -9999 -9999
202202091000 1.32 -9999 1.32 -9999 -9999
202202091100 1.32 -9999 1.32 -9999 -9999
202202091200 1.43 3.38 1.53 5.73 4
202202091300 1.55 6.28 1.56 6.57 4
202202091400 1.53 5.73 1.55 6.28 4
202202091500 1.46 4.01 1.5 4.95 4
202202091600 1.42 3.18 1.44 3.58 4
202202091700 1.39 2.64 1.4 2.81 4
202202091800 1.39 2.64 1.39 2.64 4
202202091900 1.37 2.31 1.38 2.47 4
202202092000 1.34 -9999 1.36 2.16 -9999
202202092100 1.33 -9999 1.34 -9999 -9999
202202092200 1.32 -9999 1.33 -9999 -9999
202202092300 1.41 3 1.54 6 4
202202100000 1.55 6.28 1.56 6.57 4
202202100100 1.52 5.46 1.56 6.57 4
202202100200 1.44 3.58 1.48 4.47 4
202202100300 1.4 2.81 1.42 3.18 4
202202100400 1.39 2.64 1.4 2.81 4
202202100500 1.38 2.47 1.39 2.64 4
202202100600 1.35 2.02 1.37 2.31 4
202202100700 1.33 -9999 1.34 -9999 -9999
202202100800 1.32 -9999 1.33 -9999 -9999
202202100900 1.32 -9999 1.33 -9999 -9999
202202101000 1.32 -9999 1.33 -9999 -9999
202202101100 1.32 -9999 1.32 -9999 -9999
202202101200 1.37 2.31 1.46 4.01 4
202202101300 1.48 4.47 1.49 4.7 4
202202101400 1.48 4.47 1.49 4.7 4
202202101500 1.45 3.79 1.47 4.23 4
202202101600 1.41 3 1.43 3.38 4
