a1sDateVet a1dLivOssMean a1dQOssMean a1dLivOssMax a1dQOssMax a1dLivOssMinV flagSdD
202202080000 -9999 -9999 -9999 -9999 -9999 -9999
202202080100 -9999 -9999 -9999 -9999 -9999 -9999
202202080200 -9999 -9999 -9999 -9999 -9999 -9999
202202080300 -9999 -9999 -9999 -9999 -9999 -9999
202202080400 -9999 -9999 -9999 -9999 -9999 -9999
202202080500 -9999 -9999 -9999 -9999 -9999 -9999
202202080600 -9999 -9999 -9999 -9999 -9999 -9999
202202080700 -9999 -9999 -9999 -9999 -9999 -9999
202202080800 -9999 -9999 -9999 -9999 -9999 -9999
202202080900 -9999 -9999 -9999 -9999 -9999 -9999
202202081000 -9999 -9999 -9999 -9999 -9999 -9999
202202081100 -9999 -9999 -9999 -9999 -9999 -9999
202202081200 -9999 -9999 -9999 -9999 -9999 -9999
202202081300 -9999 -9999 -9999 -9999 -9999 -9999
202202081400 -9999 -9999 -9999 -9999 -9999 -9999
202202081500 -9999 -9999 -9999 -9999 -9999 -9999
202202081600 -9999 -9999 -9999 -9999 -9999 -9999
202202081700 -9999 -9999 -9999 -9999 -9999 -9999
202202081800 -9999 -9999 -9999 -9999 -9999 -9999
202202081900 -9999 -9999 -9999 -9999 -9999 -9999
202202082000 -9999 -9999 -9999 -9999 -9999 -9999
202202082100 -9999 -9999 -9999 -9999 -9999 -9999
202202082200 -9999 -9999 -9999 -9999 -9999 -9999
202202082300 -9999 -9999 -9999 -9999 -9999 -9999
202202090000 -9999 -9999 -9999 -9999 -9999 -9999
202202090100 -9999 -9999 -9999 -9999 -9999 -9999
202202090200 -9999 -9999 -9999 -9999 -9999 -9999
202202090300 -9999 -9999 -9999 -9999 -9999 -9999
202202090400 -9999 -9999 -9999 -9999 -9999 -9999
202202090500 -9999 -9999 -9999 -9999 -9999 -9999
202202090600 -9999 -9999 -9999 -9999 -9999 -9999
202202090700 -9999 -9999 -9999 -9999 -9999 -9999
202202090800 -9999 -9999 -9999 -9999 -9999 -9999
202202090900 -9999 -9999 -9999 -9999 -9999 -9999
202202091000 -9999 -9999 -9999 -9999 -9999 -9999
202202091100 -9999 -9999 -9999 -9999 -9999 -9999
202202091200 -9999 -9999 -9999 -9999 -9999 -9999
202202091300 -9999 -9999 -9999 -9999 -9999 -9999
202202091400 -9999 -9999 -9999 -9999 -9999 -9999
202202091500 -9999 -9999 -9999 -9999 -9999 -9999
202202091600 -9999 -9999 -9999 -9999 -9999 -9999
202202091700 -9999 -9999 -9999 -9999 -9999 -9999
202202091800 -9999 -9999 -9999 -9999 -9999 -9999
202202091900 -9999 -9999 -9999 -9999 -9999 -9999
202202092000 -9999 -9999 -9999 -9999 -9999 -9999
202202092100 -9999 -9999 -9999 -9999 -9999 -9999
202202092200 -9999 -9999 -9999 -9999 -9999 -9999
202202092300 -9999 -9999 -9999 -9999 -9999 -9999
202202100000 -9999 -9999 -9999 -9999 -9999 -9999
202202100100 -9999 -9999 -9999 -9999 -9999 -9999
202202100200 -9999 -9999 -9999 -9999 -9999 -9999
202202100300 -9999 -9999 -9999 -9999 -9999 -9999
202202100400 -9999 -9999 -9999 -9999 -9999 -9999
202202100500 -9999 -9999 -9999 -9999 -9999 -9999
202202100600 -9999 -9999 -9999 -9999 -9999 -9999
