a1sDateVet a1dLivOssMean a1dQOssMean a1dLivOssMax a1dQOssMax flagSdD
202202080000 0.18 -9999 0.19 -9999 -9999
202202080100 0.18 -9999 0.18 -9999 -9999
202202080200 0.16 -9999 0.17 -9999 -9999
202202080300 0.14 -9999 0.16 -9999 -9999
202202080400 0.12 -9999 0.14 -9999 -9999
202202080500 0.1 -9999 0.11 -9999 -9999
202202080600 0.08 -9999 0.09 -9999 -9999
202202080700 0.06 -9999 0.07 -9999 -9999
202202080800 0.04 -9999 0.06 -9999 -9999
202202080900 0.03 -9999 0.05 -9999 -9999
202202081000 0.02 -9999 0.03 -9999 -9999
202202081100 0.02 -9999 0.02 -9999 -9999
202202081200 0.32 -9999 0.52 0.3 -9999
202202081300 0.31 -9999 0.52 0.3 -9999
202202081400 0.19 -9999 0.37 -9999 -9999
202202081500 0.1 -9999 0.34 -9999 -9999
202202081600 0.3 -9999 0.32 -9999 -9999
202202081700 0.28 -9999 0.3 -9999 -9999
202202081800 0.23 -9999 0.28 -9999 -9999
202202081900 0.15 -9999 0.21 -9999 -9999
202202082000 0.11 -9999 0.12 -9999 -9999
202202082100 0.08 -9999 0.09 -9999 -9999
202202082200 0.08 -9999 0.08 -9999 -9999
202202082300 0.07 -9999 0.08 -9999 -9999
202202090000 0.06 -9999 0.07 -9999 -9999
202202090100 0.05 -9999 0.05 -9999 -9999
202202090200 0.03 -9999 0.04 -9999 -9999
202202090300 0.02 -9999 0.03 -9999 -9999
202202090400 0.03 -9999 0.03 -9999 -9999
202202090500 0.03 -9999 0.03 -9999 -9999
202202090600 0.03 -9999 0.03 -9999 -9999
202202090700 0.03 -9999 0.03 -9999 -9999
202202090800 0.01 -9999 0.02 -9999 -9999
202202090900 0.04 -9999 0.05 -9999 -9999
202202091000 0.03 -9999 0.04 -9999 -9999
202202091100 0.03 -9999 0.04 -9999 -9999
202202091200 0.04 -9999 0.05 -9999 -9999
202202091300 0.06 -9999 0.07 -9999 -9999
202202091400 0.07 -9999 0.07 -9999 -9999
202202091500 0.06 -9999 0.06 -9999 -9999
202202091600 0.05 -9999 0.06 -9999 -9999
202202091700 0.04 -9999 0.06 -9999 -9999
202202091800 0.03 -9999 0.04 -9999 -9999
202202091900 0.03 -9999 0.04 -9999 -9999
202202092000 0.03 -9999 0.03 -9999 -9999
202202092100 0.02 -9999 0.02 -9999 -9999
202202092200 0.02 -9999 0.02 -9999 -9999
202202092300 0.02 -9999 0.03 -9999 -9999
202202100000 0.03 -9999 0.03 -9999 -9999
202202100100 0.03 -9999 0.04 -9999 -9999
202202100200 0.04 -9999 0.05 -9999 -9999
202202100300 0.05 -9999 0.05 -9999 -9999
202202100400 0.05 -9999 0.06 -9999 -9999
202202100500 0.05 -9999 0.06 -9999 -9999
