a1sDateVet a1dLivOssMean a1dQOssMean a1dLivOssMax a1dQOssMax flagSdD
202202080000 -1.54 2.67 -1.53 2.87 4
202202080100 -1.54 2.67 -1.53 2.87 4
202202080200 -1.55 2.47 -1.55 2.47 4
202202080300 -1.56 2.28 -1.55 2.47 4
202202080400 -1.56 2.28 -1.56 2.28 4
202202080500 -1.56 2.28 -1.56 2.28 4
202202080600 -1.57 2.1 -1.56 2.28 4
202202080700 -1.56 2.28 -1.56 2.28 4
202202080800 -1.57 2.1 -1.56 2.28 4
202202080900 -1.57 2.1 -1.56 2.28 4
202202081000 -1.57 2.1 -1.56 2.28 4
202202081100 -1.57 2.1 -1.57 2.1 4
202202081200 -1.57 2.1 -1.56 2.28 4
202202081300 -1.57 2.1 -1.56 2.28 4
202202081400 -1.55 2.47 -1.54 2.67 4
202202081500 -1.52 3.08 -1.51 3.3 4
202202081600 -1.51 3.3 -1.51 3.3 4
202202081700 -1.52 3.08 -1.51 3.3 4
202202081800 -1.54 2.67 -1.52 3.08 4
202202081900 -1.54 2.67 -1.54 2.67 4
202202082000 -1.54 2.67 -1.54 2.67 4
202202082100 -1.54 2.67 -1.54 2.67 4
202202082200 -1.54 2.67 -1.54 2.67 4
202202082300 -1.54 2.67 -1.54 2.67 4
202202090000 -1.54 2.67 -1.54 2.67 4
202202090100 -1.55 2.47 -1.54 2.67 4
202202090200 -1.56 2.28 -1.55 2.47 4
202202090300 -1.56 2.28 -1.56 2.28 4
202202090400 -1.57 2.1 -1.57 2.1 4
202202090500 -1.57 2.1 -1.57 2.1 4
202202090600 -1.57 2.1 -1.57 2.1 4
202202090700 -1.57 2.1 -1.57 2.1 4
202202090800 -1.57 2.1 -1.57 2.1 4
202202090900 -1.57 2.1 -1.57 2.1 4
202202091000 -1.57 2.1 -1.57 2.1 4
202202091100 -1.57 2.1 -1.56 2.28 4
202202091200 -1.57 2.1 -1.57 2.1 4
202202091300 -1.57 2.1 -1.57 2.1 4
202202091400 -1.57 2.1 -1.56 2.28 4
202202091500 -1.56 2.28 -1.54 2.67 4
202202091600 -1.55 2.47 -1.54 2.67 4
202202091700 -1.55 2.47 -1.54 2.67 4
202202091800 -1.55 2.47 -1.54 2.67 4
202202091900 -1.55 2.47 -1.54 2.67 4
202202092000 -1.55 2.47 -1.55 2.47 4
202202092100 -1.55 2.47 -1.54 2.67 4
202202092200 -1.55 2.47 -1.54 2.67 4
202202092300 -1.55 2.47 -1.54 2.67 4
202202100000 -1.54 2.67 -1.54 2.67 4
202202100100 -1.55 2.47 -1.54 2.67 4
202202100200 -1.56 2.28 -1.55 2.47 4
202202100300 -1.57 2.1 -1.57 2.1 4
202202100400 -1.57 2.1 -1.57 2.1 4
202202100500 -1.58 1.93 -1.57 2.1 4
