a1sDateVet a1dLivOssMean a1dQOssMean a1dLivOssMax a1dQOssMax flagSdD
202202080000 1.13 3 1.14 3.14 4
202202080100 1.12 2.86 1.13 3 4
202202080200 1.12 2.86 1.13 3 4
202202080300 1.11 2.73 1.12 2.86 4
202202080400 1.11 2.73 1.12 2.86 4
202202080500 1.11 2.73 1.13 3 4
202202080600 1.11 2.73 1.12 2.86 4
202202080700 1.11 2.73 1.12 2.86 4
202202080800 1.11 2.73 1.12 2.86 4
202202080900 1.11 2.73 1.12 2.86 4
202202081000 1.11 2.73 1.12 2.86 4
202202081100 1.12 2.86 1.13 3 4
202202081200 1.12 2.86 1.13 3 4
202202081300 1.12 2.86 1.13 3 4
202202081400 1.18 3.73 1.32 7.21 4
202202081500 1.36 8.76 1.37 9.17 4
202202081600 1.35 8.35 1.37 9.17 4
202202081700 1.29 6.19 1.32 7.21 4
202202081800 1.23 4.55 1.25 5.02 4
202202081900 1.19 3.89 1.22 4.38 4
202202082000 1.17 3.58 1.18 3.73 4
202202082100 1.15 3.28 1.16 3.43 4
202202082200 1.14 3.14 1.15 3.28 4
202202082300 1.13 3 1.14 3.14 4
202202090000 1.12 2.86 1.13 3 4
202202090100 1.11 2.73 1.12 2.86 4
202202090200 1.11 2.73 1.12 2.86 4
202202090300 1.11 2.73 1.11 2.73 4
202202090400 1.11 2.73 1.12 2.86 4
202202090500 1.11 2.73 1.12 2.86 4
202202090600 1.1 2.6 1.11 2.73 4
202202090700 1.1 2.6 1.12 2.86 4
202202090800 1.11 2.73 1.11 2.73 4
202202090900 1.1 2.6 1.11 2.73 4
202202091000 1.11 2.73 1.11 2.73 4
202202091100 1.1 2.6 1.11 2.73 4
202202091200 1.1 2.6 1.12 2.86 4
202202091300 1.11 2.73 1.12 2.86 4
202202091400 1.26 5.29 1.37 9.17 4
202202091500 1.37 9.17 1.38 9.61 4
202202091600 1.35 8.35 1.37 9.17 4
202202091700 1.29 6.19 1.32 7.21 4
202202091800 1.24 4.76 1.26 5.29 4
202202091900 1.2 4.05 1.21 4.21 4
202202092000 1.17 3.58 1.18 3.73 4
202202092100 1.15 3.28 1.17 3.58 4
202202092200 1.14 3.14 1.15 3.28 4
202202092300 1.13 3 1.14 3.14 4
202202100000 1.12 2.86 1.13 3 4
202202100100 1.11 2.73 1.12 2.86 4
202202100200 1.11 2.73 1.12 2.86 4
202202100300 1.11 2.73 1.11 2.73 4
202202100400 1.11 2.73 1.12 2.86 4
202202100500 1.11 2.73 1.11 2.73 4
202202100600 1.1 2.6 1.11 2.73 4
202202100700 1.1 2.6 1.11 2.73 4
202202100800 1.1 2.6 1.11 2.73 4
202202100900 1.1 2.6 1.11 2.73 4
202202101000 1.11 2.73 1.11 2.73 4
202202101100 1.1 2.6 1.12 2.86 4
202202101200 1.11 2.73 1.11 2.73 4
202202101300 1.13 3 1.23 4.55 4
202202101400 1.34 7.96 1.36 8.76 4
202202101500 1.36 8.76 1.37 9.17 4
202202101600 1.35 8.35 1.38 9.61 4
