a1sDateVet a1dLivOssMean a1dQOssMean a1dLivOssMax a1dQOssMax flagSdD
202202080000 -1.02 0.04 -9999 -9999 4
202202080100 -1.01 0.41 -9999 -9999 4
202202080200 -1.02 0.04 -9999 -9999 4
202202080300 -1.02 0.04 -9999 -9999 4
202202080400 -1.02 0.04 -9999 -9999 4
202202080500 -1.02 0.04 -9999 -9999 4
202202080600 -1.02 0.04 -9999 -9999 4
202202080700 -1.02 0.04 -9999 -9999 4
202202080800 -1.01 0.41 -9999 -9999 4
202202080900 -1.01 0.41 -9999 -9999 4
202202081000 -1 0.78 -9999 -9999 4
202202081100 -1 0.78 -9999 -9999 4
202202081200 -1 0.78 -9999 -9999 4
202202081300 -1 0.78 -9999 -9999 4
202202081400 -1 0.78 -9999 -9999 4
202202081500 -1 0.78 -9999 -9999 4
202202081600 -1.01 0.41 -9999 -9999 4
202202081700 -1.03 -9999 -9999 -9999 -9999
202202081800 -1.03 -9999 -9999 -9999 -9999
202202081900 -1.02 0.04 -9999 -9999 4
202202082000 -1.02 0.04 -9999 -9999 4
202202082100 -1.02 0.04 -9999 -9999 4
202202082200 -1.02 0.04 -9999 -9999 4
202202082300 -1.02 0.04 -9999 -9999 4
202202090000 -1.02 0.04 -9999 -9999 4
202202090100 -1.02 0.04 -9999 -9999 4
202202090200 -1.02 0.04 -9999 -9999 4
202202090300 -1.02 0.04 -9999 -9999 4
202202090400 -1.02 0.04 -9999 -9999 4
202202090500 -1.02 0.04 -9999 -9999 4
202202090600 -1.02 0.04 -9999 -9999 4
202202090700 -1.02 0.04 -9999 -9999 4
202202090800 -1.02 0.04 -9999 -9999 4
202202090900 -1.01 0.41 -9999 -9999 4
202202091000 -1 0.78 -9999 -9999 4
202202091100 -1 0.78 -9999 -9999 4
202202091200 -1 0.78 -9999 -9999 4
202202091300 -1 0.78 -9999 -9999 4
202202091400 -1.01 0.41 -9999 -9999 4
202202091500 -1.01 0.41 -9999 -9999 4
202202091600 -1.02 0.04 -9999 -9999 4
202202091700 -1.02 0.04 -9999 -9999 4
202202091800 -1.04 -9999 -9999 -9999 -9999
202202091900 -1.02 0.04 -9999 -9999 4
202202092000 -1.02 0.04 -9999 -9999 4
202202092100 -1.01 0.41 -9999 -9999 4
202202092200 -1.01 0.41 -9999 -9999 4
202202092300 -1.01 0.41 -9999 -9999 4
202202100000 -1.01 0.41 -9999 -9999 4
202202100100 -1.02 0.04 -9999 -9999 4
