a1sDateVet a1dLivOssMean a1dQOssMean a1dLivOssMax a1dQOssMax flagSdD
202202080000 -0.06 -9999 -9999 -9999 -9999
202202080100 -0.05 -9999 -9999 -9999 -9999
202202080200 -0.06 -9999 -9999 -9999 -9999
202202080300 -0.05 -9999 -9999 -9999 -9999
202202080400 0.18 0.13 -9999 -9999 1
202202080500 0.2 0.16 -9999 -9999 1
202202080600 0.18 0.13 -9999 -9999 1
202202080700 0.13 0.07 -9999 -9999 1
202202080800 0.08 0.03 -9999 -9999 1
202202080900 0.04 0.01 -9999 -9999 1
202202081000 0.07 0.02 -9999 -9999 1
202202081100 0.06 0.02 -9999 -9999 1
202202081200 0.03 0.01 -9999 -9999 1
202202081300 0.01 0 -9999 -9999 1
202202081400 -0.03 -9999 -9999 -9999 -9999
202202081500 0.01 0 -9999 -9999 1
202202081600 0.01 0 -9999 -9999 1
202202081700 -0.01 -9999 -9999 -9999 -9999
202202081800 -0.01 -9999 -9999 -9999 -9999
202202081900 -0.02 -9999 -9999 -9999 -9999
202202082000 -0.02 -9999 -9999 -9999 -9999
202202082100 -0.01 -9999 -9999 -9999 -9999
202202082200 0.16 0.11 -9999 -9999 1
202202082300 0.33 0.44 -9999 -9999 1
202202090000 0.29 0.34 -9999 -9999 1
202202090100 0.27 0.3 -9999 -9999 1
202202090200 0.24 0.24 -9999 -9999 1
202202090300 0.23 0.22 -9999 -9999 1
202202090400 0.18 0.13 -9999 -9999 1
202202090500 0.06 0.02 -9999 -9999 1
202202090600 0.03 0.01 -9999 -9999 1
202202090700 0.2 0.16 -9999 -9999 1
202202090800 0.21 0.18 -9999 -9999 1
202202090900 0.14 0.08 -9999 -9999 1
202202091000 0.03 0.01 -9999 -9999 1
202202091100 -0.01 -9999 -9999 -9999 -9999
202202091200 -0.03 -9999 -9999 -9999 -9999
202202091300 -0.05 -9999 -9999 -9999 -9999
202202091400 -0.03 -9999 -9999 -9999 -9999
202202091500 -0.04 -9999 -9999 -9999 -9999
202202091600 -0.03 -9999 -9999 -9999 -9999
202202091700 -0.03 -9999 -9999 -9999 -9999
202202091800 -0.04 -9999 -9999 -9999 -9999
202202091900 -0.03 -9999 -9999 -9999 -9999
202202092000 -0.03 -9999 -9999 -9999 -9999
202202092100 -0.03 -9999 -9999 -9999 -9999
202202092200 -0.03 -9999 -9999 -9999 -9999
202202092300 -0.03 -9999 -9999 -9999 -9999
202202100000 -0.04 -9999 -9999 -9999 -9999
