a1sDateVet a1dLivOssMean a1dQOssMean a1dLivOssMax a1dQOssMax flagSdD
202202080000 0.73 1.29 0.73 1.29 4
202202080100 0.74 1.4 0.74 1.4 4
202202080200 0.74 1.4 0.74 1.4 4
202202080300 0.74 1.4 0.74 1.4 4
202202080400 0.74 1.4 0.74 1.4 4
202202080500 0.74 1.4 0.74 1.4 4
202202080600 0.74 1.4 0.74 1.4 4
202202080700 0.74 1.4 0.74 1.4 4
202202080800 0.74 1.4 0.74 1.4 4
202202080900 0.74 1.4 0.74 1.4 4
202202081000 0.79 2.03 0.8 2.17 4
202202081100 0.81 2.32 0.83 2.63 4
202202081200 0.85 2.96 0.87 3.31 4
202202081300 0.86 3.13 0.86 3.13 4
202202081400 0.81 2.32 0.83 2.63 4
202202081500 0.79 2.03 0.8 2.17 4
202202081600 0.79 2.03 0.79 2.03 4
202202081700 0.79 2.03 0.79 2.03 4
202202081800 0.79 2.03 0.79 2.03 4
202202081900 0.79 2.03 0.79 2.03 4
202202082000 0.79 2.03 0.79 2.03 4
202202082100 0.79 2.03 0.79 2.03 4
202202082200 0.76 1.64 0.78 1.9 4
202202082300 0.73 1.29 0.73 1.29 4
202202090000 0.73 1.29 0.73 1.29 4
202202090100 0.74 1.4 0.74 1.4 4
202202090200 0.74 1.4 0.74 1.4 4
202202090300 0.74 1.4 0.74 1.4 4
202202090400 0.74 1.4 0.74 1.4 4
202202090500 0.74 1.4 0.74 1.4 4
202202090600 0.74 1.4 0.74 1.4 4
202202090700 0.74 1.4 0.74 1.4 4
202202090800 0.74 1.4 0.74 1.4 4
202202090900 0.73 1.29 0.74 1.4 4
202202091000 0.74 1.4 0.74 1.4 4
202202091100 0.78 1.9 0.8 2.17 4
202202091200 0.8 2.17 0.8 2.17 4
202202091300 0.8 2.17 0.8 2.17 4
202202091400 0.79 2.03 0.8 2.17 4
202202091500 0.79 2.03 0.79 2.03 4
202202091600 0.79 2.03 0.8 2.17 4
202202091700 0.79 2.03 0.8 2.17 4
202202091800 0.79 2.03 0.79 2.03 4
202202091900 0.79 2.03 0.79 2.03 4
202202092000 0.79 2.03 0.79 2.03 4
202202092100 0.79 2.03 0.79 2.03 4
202202092200 0.75 1.51 0.78 1.9 4
202202092300 0.73 1.29 0.73 1.29 4
202202100000 0.73 1.29 0.73 1.29 4
202202100100 0.74 1.4 0.74 1.4 4
202202100200 0.73 1.29 0.74 1.4 4
202202100300 0.74 1.4 0.74 1.4 4
202202100400 0.74 1.4 0.74 1.4 4
202202100500 0.74 1.4 0.74 1.4 4
202202100600 0.74 1.4 0.74 1.4 4
202202100700 0.74 1.4 0.74 1.4 4
202202100800 0.74 1.4 0.74 1.4 4
202202100900 0.74 1.4 0.74 1.4 4
202202101000 0.74 1.4 0.74 1.4 4
202202101100 0.74 1.4 0.74 1.4 4
202202101200 0.74 1.4 0.74 1.4 4
202202101300 0.74 1.4 0.74 1.4 4
202202101400 0.74 1.4 0.74 1.4 4
202202101500 0.74 1.4 0.74 1.4 4
202202101600 0.74 1.4 0.74 1.4 4
