a1sDateVet a1dLivOssMean a1dQOssMean a1dLivOssMax a1dQOssMax flagSdD
202202080000 1.95 16.8 -9999 -9999 1
202202080100 1.95 16.8 -9999 -9999 1
202202080200 1.96 17.8 -9999 -9999 1
202202080300 1.95 16.8 -9999 -9999 1
202202080400 1.96 17.8 -9999 -9999 1
202202080500 1.96 17.8 -9999 -9999 1
202202080600 1.96 17.8 -9999 -9999 1
202202080700 1.95 16.8 -9999 -9999 1
202202080800 1.94 15.8 -9999 -9999 1
202202080900 1.94 15.8 -9999 -9999 1
202202081000 1.98 19.8 -9999 -9999 1
202202081100 1.96 17.8 -9999 -9999 1
202202081200 1.95 16.8 -9999 -9999 1
202202081300 1.96 17.8 -9999 -9999 1
202202081400 1.97 18.8 -9999 -9999 1
202202081500 1.97 18.8 -9999 -9999 1
202202081600 1.96 17.8 -9999 -9999 1
202202081700 1.96 17.8 -9999 -9999 1
202202081800 1.96 17.8 -9999 -9999 1
202202081900 1.96 17.8 -9999 -9999 1
202202082000 1.95 16.8 -9999 -9999 1
202202082100 1.95 16.8 -9999 -9999 1
202202082200 1.95 16.8 -9999 -9999 1
202202082300 1.95 16.8 -9999 -9999 1
202202090000 1.96 17.8 -9999 -9999 1
202202090100 1.96 17.8 -9999 -9999 1
202202090200 1.96 17.8 -9999 -9999 1
202202090300 1.96 17.8 -9999 -9999 1
202202090400 1.96 17.8 -9999 -9999 1
202202090500 1.96 17.8 -9999 -9999 1
202202090600 1.96 17.8 -9999 -9999 1
202202090700 1.96 17.8 -9999 -9999 1
202202090800 1.96 17.8 -9999 -9999 1
202202090900 1.96 17.8 -9999 -9999 1
202202091000 1.96 17.8 -9999 -9999 1
202202091100 1.97 18.8 -9999 -9999 1
202202091200 1.96 17.8 -9999 -9999 1
202202091300 1.96 17.8 -9999 -9999 1
202202091400 1.96 17.8 -9999 -9999 1
202202091500 1.96 17.8 -9999 -9999 1
202202091600 1.96 17.8 -9999 -9999 1
202202091700 1.96 17.8 -9999 -9999 1
202202091800 1.96 17.8 -9999 -9999 1
202202091900 1.96 17.8 -9999 -9999 1
202202092000 1.96 17.8 -9999 -9999 1
202202092100 1.96 17.8 -9999 -9999 1
202202092200 1.96 17.8 -9999 -9999 1
202202092300 1.96 17.8 -9999 -9999 1
202202100000 1.96 17.8 -9999 -9999 1
