a1sDateVet a1dLivOssMean a1dQOssMean a1dLivOssMax a1dQOssMax flagSdD
202009300000 0.21 0.2 0.21 0.2 4
202009300100 0.21 0.2 0.21 0.2 4
202009300200 0.21 0.2 0.21 0.2 4
202009300300 0.21 0.2 0.22 0.21 4
202009300400 0.21 0.2 0.21 0.2 4
202009300500 0.21 0.2 0.21 0.2 4
202009300600 0.21 0.2 0.21 0.2 4
202009300700 0.21 0.2 0.21 0.2 4
202009300800 0.21 0.2 0.21 0.2 4
202009300900 0.21 0.2 0.21 0.2 4
202009301000 0.21 0.2 0.21 0.2 4
202009301100 0.21 0.2 0.21 0.2 4
202009301200 0.21 0.2 0.21 0.2 4
202009301300 0.21 0.2 0.21 0.2 4
202009301400 0.21 0.2 0.21 0.2 4
202009301500 0.21 0.2 0.21 0.2 4
202009301600 0.21 0.2 0.21 0.2 4
202009301700 0.21 0.2 0.21 0.2 4
202009301800 0.21 0.2 0.21 0.2 4
202009301900 0.21 0.2 0.21 0.2 4
202009302000 0.21 0.2 0.21 0.2 4
202009302100 0.21 0.2 0.21 0.2 4
202009302200 0.21 0.2 0.21 0.2 4
202009302300 0.21 0.2 0.21 0.2 4
202010010000 0.21 0.2 0.21 0.2 4
202010010100 0.21 0.2 0.21 0.2 4
202010010200 0.21 0.2 0.21 0.2 4
202010010300 0.21 0.2 0.21 0.2 4
202010010400 0.21 0.2 0.21 0.2 4
202010010500 0.21 0.2 0.21 0.2 4
202010010600 0.21 0.2 0.21 0.2 4
202010010700 0.21 0.2 0.21 0.2 4
202010010800 0.21 0.2 0.21 0.2 4
202010010900 0.21 0.2 0.21 0.2 4
202010011000 0.21 0.2 0.21 0.2 4
202010011100 0.21 0.2 0.21 0.2 4
202010011200 0.21 0.2 0.21 0.2 4
202010011300 0.21 0.2 0.21 0.2 4
202010011400 0.21 0.2 0.21 0.2 4
202010011500 0.21 0.2 0.21 0.2 4
202010011600 0.21 0.2 0.21 0.2 4
202010011700 0.21 0.2 0.21 0.2 4
202010011800 0.21 0.2 0.23 0.23 4
202010011900 0.25 0.28 0.26 0.3 4
202010012000 0.28 0.34 0.28 0.34 4
202010012100 0.27 0.32 0.28 0.34 4
202010012200 0.27 0.32 0.28 0.34 4
202010012300 0.29 0.37 0.29 0.37 4
202010020000 0.3 0.39 0.3 0.39 4
202010020100 0.32 0.49 0.34 0.57 4
202010020200 0.4 0.95 0.5 1.98 4
202010020300 0.78 8.01 1.29 27.48 4
202010020400 1.58 38.86 1.87 50.72 4
202010020500 1.82 48.43 1.96 56.95 4
202010020600 1.68 42.83 1.76 46.03 4
202010020700 1.45 33.73 1.58 38.86 4
202010020800 1.27 26.71 1.37 30.6 4
202010020900 1.17 22.84 1.24 25.54 4
202010021000 1.09 19.77 1.13 21.3 4
202010021100 1 16.33 1.05 18.23 4
202010021200 0.94 14.05 0.97 15.19 4
202010021300 0.89 12.15 0.93 13.67 4
202010021400 0.86 11.02 0.88 11.78 4
202010021500 0.83 9.89 0.85 10.64 4
202010021600 0.8 8.76 0.82 9.51 4
202010021700 0.78 8.01 0.79 8.39 4
202010021800 0.76 7.26 0.77 7.64 4
202010021900 0.74 6.51 0.75 6.89 4
202010022000 0.72 5.98 0.73 6.14 4
202010022100 0.71 5.74 0.72 5.98 4
202010022200 0.69 5.29 0.7 5.51 4
202010022300 0.68 5.07 0.68 5.07 4
